"","Year","Period","State","State ANSI","HONEY, BEE COLONIES - ADDED & REPLACED, MEASURED IN COLONIES","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES","HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN PCT OF COLONIES","HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES","HONEY, BEE COLONIES, AFFECTED BY OTHER CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES","HONEY, BEE COLONIES, AFFECTED BY PESTICIDES - INVENTORY, MEASURED IN PCT OF COLONIES","HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES","HONEY, BEE COLONIES, AFFECTED BY UNKNOWN CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES","HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES","HONEY, BEE COLONIES, RENOVATED - INVENTORY, MEASURED IN COLONIES","HONEY, BEE COLONIES, RENOVATED - INVENTORY, MEASURED IN PCT OF COLONIES","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES"
"11",2022,"APR THRU JUN","ILLINOIS","17",4300,9500,110,1100,12,3.2,7.3,1.6,7.4,10.6,18.3,2100,22,9000
"12",2022,"APR THRU JUN","INDIANA","18",5500,10000,0,1600,16,0.5,6.7,3.9,4.6,4.3,25.9,620,6,8000
"13",2022,"APR THRU JUN","IOWA","19",5000,28000,100,2300,8,1.6,4.6,0.9,1.1,8.2,49.3,2400,9,27000
"14",2022,"APR THRU JUN","KANSAS","20",6000,4900,400,650,13,1.7,23,16.1,1,1.9,41.6,580,12,4600
"15",2022,"APR THRU JUN","KENTUCKY","21",3600,10500,80,610,6,10.7,2.5,2.4,15.1,12.9,39.9,460,4,6500
"16",2022,"APR THRU JUN","LOUISIANA","22",8500,43000,960,1900,4,4.6,2.3,4.6,9.5,2.4,30.6,11500,27,43000
"17",2022,"APR THRU JUN","MAINE","23",1300,19000,100,890,5,NA,NA,0,0,NA,NA,300,2,7000
"18",2022,"APR THRU JUN","MARYLAND","24",1600,8500,150,390,5,2.4,14.7,0.8,7.9,1.7,15,1100,13,7500
"19",2022,"APR THRU JUN","MASSACHUSETTS","25",1200,14000,40,290,2,0.9,0.6,NA,0.9,NA,3.7,910,7,5500
"20",2022,"APR THRU JUN","MICHIGAN","26",13000,90000,3000,3200,4,3,2.7,6.9,NA,NA,10.4,3500,4,74000
"21",2022,"APR THRU JUN","MINNESOTA","27",6000,110000,410,1500,1,NA,2.6,NA,0.7,NA,4.9,2000,2,102000
"22",2022,"APR THRU JUN","MISSISSIPPI","28",16000,47000,570,4000,9,NA,15.2,0.7,15.3,8.9,25.4,7000,15,46000
"23",2022,"APR THRU JUN","MISSOURI","29",6000,10500,110,1500,14,0.9,2.8,0.5,3.1,1.2,11.5,4800,46,10500
"24",2022,"APR THRU JUN","MONTANA","30",5500,102000,4300,970,1,0,8.8,1.8,0,0,9.2,8000,8,38000
"25",2022,"APR THRU JUN","NEBRASKA","31",8000,45000,10,2400,5,0.8,0.6,0,22.1,NA,26.6,5000,11,19000
"26",2022,"APR THRU JUN","NEW JERSEY","34",2600,19000,0,140,1,0.7,NA,0.6,0.8,0,7,70,NA,16000
"27",2022,"APR THRU JUN","NEW MEXICO","35",4200,7000,340,1600,23,8.6,1.5,0.9,8.6,0.7,52,2200,31,7000
"28",2022,"APR THRU JUN","NEW YORK","36",6000,53000,470,2000,4,0.8,1.7,NA,3.4,1,23.2,4400,8,35000
"29",2022,"APR THRU JUN","NORTH CAROLINA","37",7500,30000,50,1200,4,3.5,NA,0,2.8,1,23.9,3300,11,25000
"30",2022,"APR THRU JUN","NORTH DAKOTA","38",12000,455000,7000,16500,4,0.9,9.7,4.7,22.4,0.5,38.7,9000,2,90000
"31",2022,"APR THRU JUN","OHIO","39",4300,14500,140,400,3,5.1,2.3,3.3,5.6,2.1,51.2,1200,8,14500
"32",2022,"APR THRU JUN","OKLAHOMA","40",10500,20000,30,1100,6,0,7.8,1.4,2.6,0.7,8.4,2100,11,12500
"33",2022,"APR THRU JUN","OREGON","41",12500,96000,2800,4200,4,9.5,17.5,16.1,23.2,NA,49.3,19500,20,94000
"34",2022,"APR THRU JUN","OTHER STATES",NA,900,4690,NA,120,3,4.5,3,2.1,3.8,4.1,7.9,400,9,4390
"35",2022,"APR THRU JUN","PENNSYLVANIA","42",7000,24000,590,730,3,0.6,1.1,NA,3.3,2.1,19,2300,10,23000
"36",2022,"APR THRU JUN","SOUTH CAROLINA","45",3500,23000,100,2500,11,NA,1.2,12.8,13.2,0.9,29.9,3200,14,22000
"37",2022,"APR THRU JUN","SOUTH DAKOTA","46",2100,184000,150,4100,2,0,12.9,2.5,29.3,1.2,44.5,19000,10,13500
"38",2022,"APR THRU JUN","TENNESSEE","47",9000,11500,220,4400,38,1,14.4,NA,23.7,1.7,30.9,1200,10,9500
"39",2022,"APR THRU JUN","TEXAS","48",83000,415000,3000,41000,10,NA,5.2,0.7,30,0.9,39.2,114000,27,345000
"40",2022,"APR THRU JUN","UTAH","49",8500,29000,2200,4300,15,6.9,13.8,7.9,0.8,8.3,40.1,5000,17,23000
"41",2022,"APR THRU JUN","VERMONT","50",3300,8500,280,150,2,0,1.3,0.7,1.5,NA,21.2,160,2,7500
"42",2022,"APR THRU JUN","VIRGINIA","51",2900,10500,100,580,6,0.9,18.1,0.6,21.7,1.7,30.8,680,6,9000
"43",2022,"APR THRU JUN","WASHINGTON","53",12500,109000,2000,6000,6,4.3,14.2,3.4,7.3,1.6,50.8,23000,21,97000
"44",2022,"APR THRU JUN","WEST VIRGINIA","54",2400,7500,120,260,3,3.6,1,0,7.4,0.9,13.1,2600,35,5000
"45",2022,"APR THRU JUN","WISCONSIN","55",6000,62000,130,1600,3,4.9,9.6,11.8,14.6,6,27,1300,2,52000
"46",2022,"APR THRU JUN","WYOMING","56",4500,23000,580,1900,8,5.1,3,0,2.5,1,5.6,1800,8,8000
"47",2022,"JAN THRU MAR","ALABAMA","01",1600,11500,70,1100,10,0,10.8,3.7,17,5.3,36.9,520,5,8000
"48",2022,"JAN THRU MAR","ARIZONA","04",4700,28000,1300,2300,8,3,NA,NA,0,0.5,14.8,10,NA,25000
"49",2022,"JAN THRU MAR","ARKANSAS","05",780,21000,540,2600,12,0,1.3,13.1,28.1,8.9,39.8,20,NA,18500
"50",2022,"JAN THRU MAR","CALIFORNIA","06",139000,1330000,14000,163000,12,3.3,3.9,5.3,7.2,4.2,29.7,95000,7,1020000
"51",2022,"JAN THRU MAR","COLORADO","08",0,8500,120,540,6,3.8,3.4,0.6,0,2.6,4,10,NA,3800
"52",2022,"JAN THRU MAR","CONNECTICUT","09",500,4000,70,420,11,1.4,3.5,NA,2.3,1.2,10.2,170,4,4000
"53",2022,"JAN THRU MAR","FLORIDA","12",50000,295000,3700,24000,8,3.7,6.4,9.8,13.1,8.2,39,13500,5,295000
"54",2022,"JAN THRU MAR","GEORGIA","13",26000,119000,7000,14000,12,0.6,5.9,5.1,17.4,3,41.2,18000,15,118000
"55",2022,"JAN THRU MAR","HAWAII","15",2600,21000,0,1600,8,0,3,0,76,0,76.1,1000,5,21000
"56",2022,"JAN THRU MAR","IDAHO","16",7500,215000,4700,8000,4,NA,1.4,15.5,1.1,1.3,57,1000,NA,194000
"57",2022,"JAN THRU MAR","ILLINOIS","17",900,11500,390,2200,19,2,5.4,4.3,6.9,10.6,20.1,140,1,11500
"58",2022,"JAN THRU MAR","INDIANA","18",130,11000,200,2900,26,1.7,9.7,3.6,11.5,5.9,28.5,30,NA,11000
"59",2022,"JAN THRU MAR","IOWA","19",610,29000,500,2800,10,0.7,1.6,0.9,13,5.1,29.7,30,NA,26000
"60",2022,"JAN THRU MAR","KANSAS","20",140,5000,110,520,10,3.7,4.2,1.7,21.8,5.1,37.8,60,1,5000
"61",2022,"JAN THRU MAR","KENTUCKY","21",50,9500,280,1300,14,3,5.6,2.8,3.9,11,15.6,160,2,8500
"62",2022,"JAN THRU MAR","LOUISIANA","22",7000,42000,770,6000,14,0,0.6,0,48.1,7.6,61.1,2200,5,35000
"63",2022,"JAN THRU MAR","MAINE","23",300,7000,170,340,5,0,7,0,1.2,1.2,7.3,120,2,3100
"64",2022,"JAN THRU MAR","MARYLAND","24",1800,7500,130,1900,25,0.6,12.1,2.3,7.4,13.6,13.7,1000,13,6500
"65",2022,"JAN THRU MAR","MASSACHUSETTS","25",350,6000,40,950,16,0.7,1.6,0,2.9,2.7,13.4,510,9,6000
"66",2022,"JAN THRU MAR","MICHIGAN","26",1400,77000,2900,4500,6,1.9,4.2,1.4,1.9,NA,6.1,2500,3,66000
"67",2022,"JAN THRU MAR","MINNESOTA","27",6000,98000,5500,1500,2,0,NA,NA,0,1,1.1,80,NA,95000
"68",2022,"JAN THRU MAR","MISSISSIPPI","28",12000,38000,610,3300,9,6.5,1.8,2,13.2,9.4,39.7,2100,6,20000
"69",2022,"JAN THRU MAR","MISSOURI","29",310,11000,160,730,7,NA,5.3,0.5,8.6,5.2,11.1,570,5,7000
"70",2022,"JAN THRU MAR","MONTANA","30",30,54000,20,300,1,0,NA,0,0,NA,0.5,0,0,45000
"71",2022,"JAN THRU MAR","NEBRASKA","31",30,30000,760,840,3,0.7,NA,0,0,2.3,3.2,0,0,24000
"72",2022,"JAN THRU MAR","NEW JERSEY","34",1500,15000,40,550,4,NA,0.6,0,3.9,1.8,13.3,30,NA,15000
"73",2022,"JAN THRU MAR","NEW MEXICO","35",1000,8000,1200,1900,24,NA,0.5,0,NA,NA,48.7,0,0,5500
"74",2022,"JAN THRU MAR","NEW YORK","36",370,44000,910,5500,13,NA,7.7,3.1,4.1,6.6,16.6,730,2,44000
"75",2022,"JAN THRU MAR","NORTH CAROLINA","37",3100,24000,130,2300,10,NA,2.4,0,7.6,1,23.4,520,2,20000
"76",2022,"JAN THRU MAR","NORTH DAKOTA","38",300,89000,9500,120,NA,0,0,0,0,NA,33.1,0,0,75000
"77",2022,"JAN THRU MAR","OHIO","39",30,16000,980,1800,11,0.7,2.2,1.7,4.8,7.2,18,530,3,16000
"78",2022,"JAN THRU MAR","OKLAHOMA","40",50,20000,20,3000,15,0,0,0,NA,NA,18.8,3500,18,20000
"79",2022,"JAN THRU MAR","OREGON","41",2400,95000,6500,5000,5,0,NA,1.4,0,1.1,11.4,310,NA,92000
"80",2022,"JAN THRU MAR","OTHER STATES",NA,320,7230,NA,710,10,4.3,2.1,1,2.4,0.8,11.6,60,1,6870
"81",2022,"JAN THRU MAR","PENNSYLVANIA","42",470,25000,840,2800,11,NA,3.1,0.6,3.9,3,14.6,360,1,23000
"82",2022,"JAN THRU MAR","SOUTH CAROLINA","45",4500,20000,200,2500,13,0,4.5,NA,3.8,3.1,38,830,4,17000
"83",2022,"JAN THRU MAR","SOUTH DAKOTA","46",40,28000,490,1000,4,0,1.8,NA,3.4,NA,4.2,0,0,21000
"84",2022,"JAN THRU MAR","TENNESSEE","47",1300,10500,590,2300,22,1,3.3,NA,5.1,3,12.9,200,2,10500
"85",2022,"JAN THRU MAR","TEXAS","48",80000,4e+05,10500,37000,9,0.6,6,3.6,2.1,1.5,21.2,34000,9,270000
"86",2022,"JAN THRU MAR","UTAH","49",4600,32000,1700,4100,13,3,NA,0,1.5,0.5,3.2,740,2,28000
"87",2022,"JAN THRU MAR","VERMONT","50",0,8000,20,380,5,1.3,2.7,4,1.9,0.5,15.2,0,0,7000
"88",2022,"JAN THRU MAR","VIRGINIA","51",940,10000,660,1700,17,2.5,12,NA,13.9,7.8,25.7,200,2,7500
"89",2022,"JAN THRU MAR","WASHINGTON","53",1400,102000,3400,7500,7,3.6,2.6,0,4,NA,8.3,6000,6,70000
"90",2022,"JAN THRU MAR","WEST VIRGINIA","54",420,5500,370,1000,18,1.7,6,1.2,7.4,0.9,15.8,200,4,5500
"91",2022,"JAN THRU MAR","WISCONSIN","55",1400,53000,3200,2800,5,NA,2,6.5,NA,0.5,7.9,240,NA,39000
"92",2022,"JAN THRU MAR","WYOMING","56",20,8000,760,180,2,0,1.2,0,0,0.8,1.3,0,0,6000
"93",2021,"APR THRU JUN","ALABAMA","01",3400,9500,90,2700,28,0.5,5.8,2.1,35,7.4,55.2,930,10,9500
"94",2021,"APR THRU JUN","ARIZONA","04",12000,26000,1300,4300,17,3.6,7.1,1.2,0,6.9,7.4,3700,14,26000
"95",2021,"APR THRU JUN","ARKANSAS","05",9000,12500,410,1600,13,5.7,2,2.8,21.9,3.6,42.2,5500,44,12500
"96",2021,"APR THRU JUN","CALIFORNIA","06",165000,1060000,10000,114000,11,7.7,11.6,16.1,11.5,3.8,42.4,180000,17,1090000
"97",2021,"APR THRU JUN","COLORADO","08",6000,25000,120,8500,34,0,0.5,NA,NA,2.9,56.1,1100,4,17000
"98",2021,"APR THRU JUN","CONNECTICUT","09",1100,4000,10,60,2,0.1,1,NA,6,0,16.5,340,9,3800
"99",2021,"APR THRU JUN","FLORIDA","12",53000,3e+05,9000,33000,11,4.3,6.4,10.1,22.9,7.7,43.4,31000,10,280000
"100",2021,"APR THRU JUN","GEORGIA","13",25000,135000,3900,21000,16,5.2,5.2,2.8,13.8,5.8,44.7,18500,14,134000
"101",2021,"APR THRU JUN","HAWAII","15",490,21000,180,490,2,0,NA,0,60.8,NA,92.6,1200,6,21000
"102",2021,"APR THRU JUN","IDAHO","16",40000,120000,3400,19500,16,5.4,2,9.9,1.9,6.2,31.9,19000,16,86000
"103",2021,"APR THRU JUN","ILLINOIS","17",3700,13000,90,1100,8,1.6,4.1,3.5,4.5,7.4,32.5,2100,16,12500
"104",2021,"APR THRU JUN","INDIANA","18",4000,13000,230,560,4,0.6,6.1,7,7.3,1.3,22.8,1000,8,11000
"105",2021,"APR THRU JUN","IOWA","19",11000,29000,1200,2200,8,1.2,2.6,0.8,2.5,8.2,13.7,3900,13,25000
"106",2021,"APR THRU JUN","KANSAS","20",4800,8000,740,1900,24,7.2,1.5,8.6,21.6,6.5,47.8,1600,20,7500
"107",2021,"APR THRU JUN","KENTUCKY","21",2100,11500,50,270,2,1,4.2,2.2,4,2.6,21.5,4500,39,10000
"108",2021,"APR THRU JUN","LOUISIANA","22",8000,29000,230,2300,8,NA,10.6,NA,3.7,0.9,29.1,2000,7,29000
"109",2021,"APR THRU JUN","MAINE","23",430,18000,50,1100,6,NA,1.5,0,0,0,13.9,260,1,2200
"110",2021,"APR THRU JUN","MARYLAND","24",2600,7500,50,320,4,NA,2,0.6,8.9,1.4,17.2,690,9,6500
"111",2021,"APR THRU JUN","MASSACHUSETTS","25",2000,12000,30,810,7,NA,NA,34,34.3,0,45.5,310,3,3700
"112",2021,"APR THRU JUN","MICHIGAN","26",10000,112000,1300,3500,3,0.8,0.8,3.5,2.7,NA,44.8,8000,7,74000
"113",2021,"APR THRU JUN","MINNESOTA","27",29000,98000,730,5500,6,NA,1.1,12.8,0,1.1,13.1,4000,4,69000
"114",2021,"APR THRU JUN","MISSISSIPPI","28",9500,35000,310,4600,13,3.2,3.2,0.5,11.3,9.9,46.7,8000,23,34000
"115",2021,"APR THRU JUN","MISSOURI","29",2300,4800,40,670,14,1.8,8.3,0.9,8.8,4.8,21.9,670,14,4800
"116",2021,"APR THRU JUN","MONTANA","30",13500,116000,820,3200,3,1.5,5.2,13.3,0,3,20.8,15500,13,38000
"117",2021,"APR THRU JUN","NEBRASKA","31",9000,37000,1200,1800,5,NA,3.2,7.4,NA,1.3,17.3,810,2,18500
"118",2021,"APR THRU JUN","NEW JERSEY","34",1400,19500,50,410,2,0,1.8,2.6,5.5,1.3,11.8,140,1,14500
"119",2021,"APR THRU JUN","NEW MEXICO","35",560,5500,370,670,12,1.3,0,2.5,1.2,NA,60,2300,42,5500
"120",2021,"APR THRU JUN","NEW YORK","36",15000,50000,820,3000,6,0.5,2.3,1.7,3.9,3.5,35.8,4100,8,28000
"121",2021,"APR THRU JUN","NORTH CAROLINA","37",6000,23000,150,1700,7,NA,NA,NA,3.5,NA,35.8,3300,14,22000
"122",2021,"APR THRU JUN","NORTH DAKOTA","38",11500,495000,7000,6000,1,NA,2,NA,0.7,NA,29.2,3600,1,42000
"123",2021,"APR THRU JUN","OHIO","39",8000,13500,100,820,6,6.6,7.1,4.1,37.8,3.1,62.1,2400,18,13000
"124",2021,"APR THRU JUN","OKLAHOMA","40",4200,17000,0,3600,21,NA,7,NA,2.1,1,3.1,190,1,17000
"125",2021,"APR THRU JUN","OREGON","41",25000,108000,530,3300,3,6.2,6.5,10.1,8.3,1.8,17.2,19500,18,60000
"126",2021,"APR THRU JUN","OTHER STATES",NA,2880,8460,NA,140,2,NA,5.7,4.6,NA,4.7,42.8,3130,37,6020
"127",2021,"APR THRU JUN","PENNSYLVANIA","42",7000,23000,430,2000,9,1.4,1.2,2.6,5,0.5,21.4,2700,12,20000
"128",2021,"APR THRU JUN","SOUTH CAROLINA","45",4200,19000,140,1700,9,2.1,9.1,NA,32.7,5,48.4,4900,26,18000
"129",2021,"APR THRU JUN","SOUTH DAKOTA","46",39000,210000,170,7000,3,3.6,27.3,4.2,12,0.7,49.4,19000,9,16500
"130",2021,"APR THRU JUN","TENNESSEE","47",4800,12000,80,720,6,NA,3.1,2.4,10.3,NA,22.4,3400,28,12000
"131",2021,"APR THRU JUN","TEXAS","48",67000,425000,780,74000,17,0,5.7,11.5,3.4,NA,38.1,72000,17,365000
"132",2021,"APR THRU JUN","UTAH","49",9500,31000,540,3800,12,10.3,NA,18.7,25.7,1.4,40,3700,12,20000
"133",2021,"APR THRU JUN","VERMONT","50",770,7000,10,40,1,0.5,1.5,0,0.8,0,28.1,570,8,7000
"134",2021,"APR THRU JUN","VIRGINIA","51",3100,8500,120,530,6,3.6,2.7,2.1,6.3,3.7,13.3,820,10,8000
"135",2021,"APR THRU JUN","WASHINGTON","53",9500,122000,240,2900,2,8.4,4.7,1.2,19.1,NA,31.7,2600,2,66000
"136",2021,"APR THRU JUN","WEST VIRGINIA","54",1900,9000,40,170,2,1.1,1,0,3.9,2.2,5.2,390,4,8000
"137",2021,"APR THRU JUN","WISCONSIN","55",10000,57000,670,2100,4,1.2,1.1,15.1,19.3,2.2,26.1,7500,13,42000
"138",2021,"APR THRU JUN","WYOMING","56",7500,30000,1700,2700,9,0,1.5,6.9,0.9,2.4,8.3,4900,16,13500
"139",2021,"JAN THRU MAR","ALABAMA","01",670,10000,270,1100,11,0,3.1,NA,30.3,4,52.2,200,2,10000
"140",2021,"JAN THRU MAR","ARIZONA","04",4500,28000,1000,6500,23,6,0.5,0,6.1,3.8,6.7,4500,16,28000
"141",2021,"JAN THRU MAR","ARKANSAS","05",690,21000,1200,4900,23,0,3.8,13.2,18.3,2.5,27.2,130,1,21000
"142",2021,"JAN THRU MAR","CALIFORNIA","06",189000,1600000,6000,275000,17,1.7,6.2,7.2,5.7,3.4,29.9,84000,5,1180000
"143",2021,"JAN THRU MAR","COLORADO","08",1000,16500,3100,700,4,0,1,0,0,7,7.9,30,NA,3000
"144",2021,"JAN THRU MAR","CONNECTICUT","09",400,4200,160,800,19,0,1.6,0.5,3.5,1,17.8,50,1,4200
"145",2021,"JAN THRU MAR","FLORIDA","12",47000,305000,7500,31000,10,5.6,6.3,6.6,11.9,3.4,34.6,17000,6,3e+05
"146",2021,"JAN THRU MAR","GEORGIA","13",34000,120000,6500,20000,17,8.9,4.1,1.5,14.4,4.6,47.9,14500,12,120000
"147",2021,"JAN THRU MAR","HAWAII","15",2300,19500,40,800,4,0,4.7,0,52.2,0,53,1600,8,19500
"148",2021,"JAN THRU MAR","IDAHO","16",11000,193000,5000,14500,8,0,1.6,8.9,9.9,1.5,30,9000,5,167000
"149",2021,"JAN THRU MAR","ILLINOIS","17",2500,13000,270,3000,23,1.6,17.9,1.3,12.9,9.4,28.8,200,2,11500
"150",2021,"JAN THRU MAR","INDIANA","18",2400,11000,450,2600,24,0,4.8,0.7,5.4,4.4,34.1,20,NA,10000
"151",2021,"JAN THRU MAR","IOWA","19",1100,26000,790,2100,8,NA,7.8,3.7,0.7,3.8,18.9,30,NA,15000
"152",2021,"JAN THRU MAR","KANSAS","20",1000,8000,190,1400,18,0,19.1,0,2.8,2.2,25.7,10,NA,5000
"153",2021,"JAN THRU MAR","KENTUCKY","21",1000,11000,240,2100,19,NA,5.1,0,16.9,9.3,27.5,80,1,11000
"154",2021,"JAN THRU MAR","LOUISIANA","22",3600,53000,450,7000,13,0,10,1.6,3.8,1.1,62.1,3000,6,51000
"155",2021,"JAN THRU MAR","MAINE","23",60,2900,170,300,10,NA,2.2,0,2.6,2.1,7.2,80,3,2900
"156",2021,"JAN THRU MAR","MARYLAND","24",1300,7000,110,1800,26,0,19.7,NA,1.1,2.7,34.6,240,3,7000
"157",2021,"JAN THRU MAR","MASSACHUSETTS","25",30,5000,210,980,20,1,7.8,0.5,3.6,4.5,28.9,90,2,5000
"158",2021,"JAN THRU MAR","MICHIGAN","26",320,78000,3300,1500,2,NA,0.7,NA,NA,1.6,2.3,4100,5,78000
"159",2021,"JAN THRU MAR","MINNESOTA","27",1300,73000,6000,3200,4,0,2.8,2.5,0.6,NA,6.3,140,NA,61000
"160",2021,"JAN THRU MAR","MISSISSIPPI","28",14000,36000,300,5500,15,0,15.5,1,3.8,4.7,19.7,70,NA,31000
"161",2021,"JAN THRU MAR","MISSOURI","29",110,5500,160,900,16,NA,13.1,0.8,5.6,5.3,16.6,40,1,5500
"162",2021,"JAN THRU MAR","MONTANA","30",820,51000,1000,330,1,0,NA,0,0,NA,15,20,NA,40000
"163",2021,"JAN THRU MAR","NEBRASKA","31",930,18000,540,640,4,NA,1.7,1.5,NA,0.7,11,0,0,11000
"164",2021,"JAN THRU MAR","NEW JERSEY","34",900,14000,600,350,3,1,1.2,1.3,1.5,0.8,18.7,80,1,14000
"165",2021,"JAN THRU MAR","NEW MEXICO","35",170,5500,10,270,5,0,6.5,0,NA,1.9,14.2,0,0,3500
"166",2021,"JAN THRU MAR","NEW YORK","36",2600,30000,1800,4900,16,0.6,5.7,0.5,3.9,4.8,15,380,1,30000
"167",2021,"JAN THRU MAR","NORTH CAROLINA","37",1900,24000,70,4000,17,NA,0.6,NA,7.2,0.5,23.5,110,NA,18000
"168",2021,"JAN THRU MAR","NORTH DAKOTA","38",2700,65000,8500,180,NA,1,1.5,NA,0.5,NA,12,0,0,51000
"169",2021,"JAN THRU MAR","OHIO","39",120,17500,180,4000,23,2.9,8.2,2,14.4,4.9,26.6,20,NA,17500
"170",2021,"JAN THRU MAR","OKLAHOMA","40",4100,28000,1100,2600,9,0,4.2,NA,NA,2,7.6,360,1,28000
"171",2021,"JAN THRU MAR","OREGON","41",1600,80000,4500,3100,4,1.4,1.2,0,10.7,0.6,12.8,610,1,76000
"172",2021,"JAN THRU MAR","OTHER STATES",NA,750,6640,NA,540,8,4.1,6.6,NA,1.2,1.1,19.4,70,1,6640
"173",2021,"JAN THRU MAR","PENNSYLVANIA","42",1100,24000,1900,5500,23,NA,6.8,0,11.6,8.6,18.1,40,NA,23000
"174",2021,"JAN THRU MAR","SOUTH CAROLINA","45",930,18000,160,1200,7,NA,4.1,3.2,10.1,0.9,48.5,190,1,15500
"175",2021,"JAN THRU MAR","SOUTH DAKOTA","46",0,34000,2100,450,1,0,NA,NA,0,0.8,8.6,0,0,28000
"176",2021,"JAN THRU MAR","TENNESSEE","47",460,13500,830,2200,16,1.4,2.6,0.8,5.2,8.9,34.4,310,2,12000
"177",2021,"JAN THRU MAR","TEXAS","48",61000,355000,5000,30000,8,1.5,7.4,5.8,13,NA,17.7,13500,4,240000
"178",2021,"JAN THRU MAR","UTAH","49",2700,19500,230,2600,13,0,1,2.4,0.9,6.3,45.4,0,0,17500
"179",2021,"JAN THRU MAR","VERMONT","50",700,7500,140,1300,17,3.7,10.1,0,NA,NA,21.1,70,1,7500
"180",2021,"JAN THRU MAR","VIRGINIA","51",1800,7500,840,1400,19,0,3.9,1.9,1,4.9,11.9,50,1,7500
"181",2021,"JAN THRU MAR","WASHINGTON","53",9500,70000,1500,5500,8,1,4.5,NA,2.3,NA,14.8,850,1,48000
"182",2021,"JAN THRU MAR","WEST VIRGINIA","54",200,9000,480,1200,13,0.7,1.2,2.6,3.3,3.1,13.6,460,5,7000
"183",2021,"JAN THRU MAR","WISCONSIN","55",230,44000,1700,2500,6,NA,3.6,0,NA,3.2,16.1,170,NA,42000
"184",2021,"JAN THRU MAR","WYOMING","56",3000,14500,530,2200,15,NA,3.3,0,NA,7.9,8.4,1200,8,13000
"185",2021,"JUL THRU SEP","ALABAMA","01",950,9500,170,1400,15,0.9,16.3,11,25.9,1.9,37.4,280,3,9500
