"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Arkansas","Newton",2016,366,350,16,0,0,0,0,90,47,37,0,0,343,23,0
"Arkansas","Polk",2016,366,318,48,0,0,0,0,87,52,40,0,0,323,43,0
"Arkansas","Pulaski",2016,366,257,109,0,0,0,0,100,60,44,0,6,166,194,0
"Arkansas","Union",2016,122,98,24,0,0,0,0,71,53,35,0,0,0,122,0
"Arkansas","Washington",2016,366,338,28,0,0,0,0,77,49,38,0,0,326,40,0
"California","Alameda",2016,366,239,112,13,2,0,0,154,74,44,0,15,214,137,0
"California","Alpine",2016,24,22,2,0,0,0,0,65,47,22,0,0,0,24,0
"California","Amador",2016,366,304,57,5,0,0,0,115,64,37,0,0,366,0,0
"California","Butte",2016,366,169,181,16,0,0,0,127,86,52,0,0,199,167,0
"California","Calaveras",2016,366,232,112,22,0,0,0,150,87,44,0,0,280,85,1
"California","Colusa",2016,366,272,94,0,0,0,0,91,64,43,0,0,248,99,19
"California","Contra Costa",2016,366,287,76,3,0,0,0,143,59,40,0,2,223,141,0
"California","Del Norte",2016,177,172,5,0,0,0,0,65,40,20,0,0,0,177,0
"California","El Dorado",2016,366,222,101,31,12,0,0,172,105,45,0,0,365,1,0
"California","Fresno",2016,366,92,169,80,25,0,0,190,140,74,0,1,217,136,12
"California","Glenn",2016,362,259,103,0,0,0,0,91,61,43,0,0,210,143,9
"California","Humboldt",2016,366,326,40,0,0,0,0,74,52,35,0,1,229,130,6
"California","Imperial",2016,366,105,216,39,3,1,2,541,105,60,0,2,144,90,130
"California","Inyo",2016,366,244,99,15,4,1,3,426,87,44,0,0,313,16,37
"California","Kern",2016,366,70,180,102,14,0,0,169,136,80,0,0,231,128,7
"California","Kings",2016,366,85,207,71,3,0,0,156,115,70,0,0,184,133,49
"California","Lake",2016,365,358,7,0,0,0,0,74,44,33,0,0,363,2,0
"California","Los Angeles",2016,366,32,230,81,19,4,0,210,134,75,0,33,174,157,2
"California","Madera",2016,366,123,193,47,3,0,0,156,105,59,0,0,217,134,15
"California","Marin",2016,366,339,27,0,0,0,0,90,48,32,0,14,221,131,0
"California","Mariposa",2016,366,219,127,19,1,0,0,159,93,46,0,0,270,80,16
"California","Mendocino",2016,364,334,30,0,0,0,0,66,45,33,0,0,193,167,4
"California","Merced",2016,366,158,173,33,2,0,0,151,100,53,0,0,225,138,3
"California","Mono",2016,366,314,19,3,6,0,24,6403,63,18,0,0,0,19,347
"California","Monterey",2016,366,325,30,3,8,0,0,176,52,36,0,0,262,63,41
"California","Napa",2016,366,296,70,0,0,0,0,90,56,37,0,2,166,197,1
"California","Nevada",2016,366,235,86,40,5,0,0,179,101,44,0,0,359,7,0
"California","Orange",2016,366,149,202,13,2,0,0,169,87,54,0,30,173,162,1
"California","Placer",2016,366,241,105,17,3,0,0,166,80,44,0,7,237,121,1
"California","Plumas",2016,355,250,94,10,1,0,0,152,73,32,0,0,0,355,0
"California","Riverside",2016,366,44,193,86,37,4,2,389,154,82,0,0,210,97,59
"California","Sacramento",2016,366,187,138,34,7,0,0,172,101,49,0,5,221,140,0
"California","San Benito",2016,366,305,56,5,0,0,0,126,61,39,0,0,352,14,0
"California","San Bernardino",2016,366,28,200,78,48,12,0,217,172,83,0,37,204,116,9
"California","San Diego",2016,366,69,255,40,2,0,0,164,105,66,0,4,224,138,0
"California","San Francisco",2016,366,311,55,0,0,0,0,67,53,36,1,45,154,166,0
"California","San Joaquin",2016,366,138,202,25,1,0,0,166,93,55,0,2,144,217,3
"California","San Luis Obispo",2016,366,177,180,8,1,0,0,156,84,51,0,0,249,75,42
"California","San Mateo",2016,366,303,63,0,0,0,0,67,54,37,1,26,119,220,0
"California","Santa Barbara",2016,366,261,93,9,2,0,1,315,67,44,0,0,259,72,35
"California","Santa Clara",2016,366,272,93,1,0,0,0,101,61,40,0,14,191,161,0
"California","Santa Cruz",2016,366,347,19,0,0,0,0,72,45,32,0,0,255,111,0
"California","Shasta",2016,366,298,54,14,0,0,0,140,74,41,0,0,363,3,0
"California","Siskiyou",2016,362,356,6,0,0,0,0,93,43,27,0,0,342,20,0
"California","Solano",2016,366,278,86,2,0,0,0,105,62,40,0,3,208,155,0
"California","Sonoma",2016,366,348,18,0,0,0,0,87,44,32,0,0,298,64,4
"California","Stanislaus",2016,366,147,176,40,3,0,0,164,103,55,0,1,202,159,4
"California","Sutter",2016,366,166,168,32,0,0,0,147,97,53,0,0,204,162,0
"California","Tehama",2016,366,226,98,37,5,0,0,174,108,44,0,0,325,40,1
"California","Trinity",2016,167,116,51,0,0,0,0,96,70,38,0,0,0,167,0
"California","Tulare",2016,366,80,162,102,22,0,0,177,145,77,0,0,222,137,7
"California","Tuolumne",2016,354,223,86,38,7,0,0,164,108,44,0,0,354,0,0
"California","Ventura",2016,366,173,184,9,0,0,0,147,84,51,0,0,232,127,7
"California","Yolo",2016,366,293,69,4,0,0,0,115,61,40,0,1,281,83,1
"Colorado","Adams",2016,366,265,100,1,0,0,0,105,64,44,1,91,182,56,36
"Colorado","Alamosa",2016,360,354,4,1,0,1,0,271,31,18,0,0,0,4,356
"Colorado","Arapahoe",2016,366,267,93,6,0,0,0,119,71,44,0,0,360,6,0
"Colorado","Archuleta",2016,347,343,4,0,0,0,0,82,31,17,0,0,0,0,347
"Colorado","Boulder",2016,204,190,14,0,0,0,0,97,48,35,0,0,108,80,16
"Colorado","Chaffee",2016,151,97,51,3,0,0,0,105,71,47,0,0,151,0,0
"Colorado","Clear Creek",2016,311,210,94,6,1,0,0,154,77,47,0,0,311,0,0
"Colorado","Delta",2016,119,117,2,0,0,0,0,64,31,16,0,0,0,0,119
"Colorado","Denver",2016,366,165,197,4,0,0,0,112,73,52,0,184,112,66,4
"Colorado","Douglas",2016,362,253,93,15,1,0,0,151,80,44,0,0,353,9,0
"Colorado","El Paso",2016,366,268,96,2,0,0,0,126,67,44,0,0,342,24,0
"Colorado","Fremont",2016,52,52,0,0,0,0,0,50,24,14,0,0,0,0,52
"Colorado","Garfield",2016,366,264,101,1,0,0,0,126,67,47,0,0,366,0,0
"Colorado","Grand",2016,152,131,21,0,0,0,0,80,54,44,0,0,152,0,0
"Colorado","Gunnison",2016,366,316,50,0,0,0,0,87,54,44,0,0,344,0,22
"Colorado","Jackson",2016,115,115,0,0,0,0,0,43,15,6,0,0,0,115,0
"Colorado","Jefferson",2016,366,245,101,17,3,0,0,159,87,46,0,0,366,0,0
"Colorado","La Plata",2016,366,251,107,8,0,0,0,122,80,46,0,1,359,3,3
"Colorado","Larimer",2016,366,189,169,7,1,0,0,151,87,50,0,0,317,47,2
"Colorado","Mesa",2016,366,260,105,1,0,0,0,102,64,46,0,0,299,67,0
"Colorado","Moffat",2016,345,316,29,0,0,0,0,67,50,41,0,0,345,0,0
"Colorado","Montezuma",2016,366,286,80,0,0,0,0,97,64,44,0,0,366,0,0
"Colorado","Montrose",2016,253,236,17,0,0,0,0,84,49,40,0,0,253,0,0
"Colorado","Park",2016,366,270,93,3,0,0,0,133,64,47,0,0,364,1,1
"Colorado","Pitkin",2016,122,122,0,0,0,0,0,44,23,12,0,0,0,19,103
"Colorado","Prowers",2016,357,350,6,1,0,0,0,115,34,17,0,0,0,0,357
"Colorado","Pueblo",2016,128,126,2,0,0,0,0,64,35,20,0,0,0,72,56
"Colorado","Rio Blanco",2016,366,327,39,0,0,0,0,90,51,43,0,0,342,24,0
"Colorado","Routt",2016,352,343,9,0,0,0,0,60,26,15,0,0,0,0,352
"Colorado","San Juan",2016,121,121,0,0,0,0,0,23,13,6,0,0,0,121,0
"Colorado","San Miguel",2016,245,189,55,1,0,0,0,105,63,44,0,0,187,0,58
"Colorado","Weld",2016,366,246,117,3,0,0,0,129,71,45,0,0,286,79,1
"Connecticut","Fairfield",2016,366,223,120,16,7,0,0,185,87,45,0,0,164,202,0
"Connecticut","Hartford",2016,366,268,91,6,1,0,0,169,65,41,0,65,158,143,0
"Connecticut","Litchfield",2016,366,308,50,7,1,0,0,164,61,38,1,0,335,30,0
"Connecticut","Middlesex",2016,174,125,36,11,2,0,0,187,97,44,0,0,174,0,0
"Connecticut","New Haven",2016,366,256,96,11,3,0,0,164,73,44,0,27,217,122,0
"Connecticut","New London",2016,357,306,41,9,1,0,0,154,58,34,0,0,178,179,0
"Connecticut","Tolland",2016,176,144,27,5,0,0,0,140,71,41,0,0,176,0,0
"Connecticut","Windham",2016,358,331,23,3,1,0,0,154,48,35,0,0,358,0,0
"Country Of Mexico","BAJA CALIFORNIA NORTE",2016,276,61,161,43,11,0,0,194,126,63,0,0,0,218,58
"Delaware","Kent",2016,364,300,62,2,0,0,0,136,61,39,0,0,294,70,0
"Delaware","New Castle",2016,366,238,118,9,1,0,0,154,74,44,0,14,217,135,0
"Delaware","Sussex",2016,366,290,73,3,0,0,0,129,61,41,0,0,303,63,0
"District Of Columbia","District of Columbia",2016,366,211,148,7,0,0,0,129,68,47,0,31,164,171,0
"Florida","Alachua",2016,360,321,38,1,0,0,0,101,51,37,0,0,227,133,0
"Florida","Baker",2016,358,334,24,0,0,0,0,80,47,34,0,0,358,0,0
"Florida","Bay",2016,366,328,38,0,0,0,0,87,51,38,0,0,264,102,0
"Florida","Brevard",2016,366,332,34,0,0,0,0,84,50,39,0,0,292,74,0
"Florida","Broward",2016,362,296,66,0,0,0,0,93,55,41,1,23,178,160,0
"Florida","Citrus",2016,343,309,33,1,0,0,0,104,50,34,0,0,0,343,0
"Florida","Collier",2016,366,336,30,0,0,0,0,87,50,37,0,0,240,126,0
"Florida","Columbia",2016,345,283,62,0,0,0,0,90,58,38,0,0,223,122,0
"Florida","Duval",2016,366,270,96,0,0,0,0,97,60,42,0,2,222,142,0
"Florida","Escambia",2016,366,314,52,0,0,0,0,97,58,41,0,0,308,58,0
"Florida","Flagler",2016,362,346,16,0,0,0,0,74,46,35,0,0,362,0,0
"Florida","Hamilton",2016,268,241,27,0,0,0,0,71,51,33,0,0,0,268,0
"Florida","Highlands",2016,363,347,16,0,0,0,0,87,46,33,0,0,363,0,0
"Florida","Hillsborough",2016,366,272,91,2,1,0,0,154,64,44,1,0,239,125,1
"Florida","Holmes",2016,366,306,60,0,0,0,0,80,55,40,0,0,185,181,0
"Florida","Indian River",2016,340,316,24,0,0,0,0,84,48,39,0,0,340,0,0
"Florida","Lake",2016,334,299,34,1,0,0,0,115,51,37,0,0,334,0,0
"Florida","Lee",2016,366,324,41,1,0,0,0,105,51,38,0,0,260,105,1
"Florida","Leon",2016,361,297,64,0,0,0,0,84,55,40,0,0,172,189,0
"Florida","Liberty",2016,342,333,9,0,0,0,0,67,45,33,0,0,342,0,0
"Florida","Manatee",2016,366,343,23,0,0,0,0,87,49,36,0,0,366,0,0
"Florida","Marion",2016,366,324,41,1,0,0,0,105,52,38,0,0,239,127,0
"Florida","Martin",2016,363,327,36,0,0,0,0,87,50,38,0,0,244,119,0
"Florida","Miami-Dade",2016,360,260,97,3,0,0,0,144,64,43,0,3,128,229,0
"Florida","Nassau",2016,243,220,23,0,0,0,0,84,50,34,0,0,0,243,0
"Florida","Okaloosa",2016,366,346,20,0,0,0,0,71,47,36,0,0,358,0,8
"Florida","Orange",2016,366,293,73,0,0,0,0,97,58,40,0,12,220,134,0
"Florida","Osceola",2016,366,342,24,0,0,0,0,90,49,35,0,0,366,0,0
"Florida","Palm Beach",2016,359,268,88,2,1,0,0,164,58,41,0,0,143,140,76
"Florida","Pasco",2016,366,328,37,1,0,0,0,105,51,37,0,0,366,0,0
"Florida","Pinellas",2016,366,315,51,0,0,0,0,97,54,40,0,0,242,124,0
"Florida","Polk",2016,366,320,46,0,0,0,0,90,53,39,0,0,246,120,0
"Florida","Putnam",2016,361,361,0,0,0,0,0,45,24,14,0,0,0,0,361
"Florida","Santa Rosa",2016,366,324,42,0,0,0,0,80,51,38,0,0,259,107,0
"Florida","Sarasota",2016,366,300,66,0,0,0,0,97,54,40,0,0,219,147,0
"Florida","Seminole",2016,365,330,35,0,0,0,0,87,50,38,0,0,341,17,7
"Florida","St. Lucie",2016,329,309,20,0,0,0,0,93,48,37,0,0,329,0,0
"Florida","Volusia",2016,359,317,42,0,0,0,0,89,51,38,0,0,253,106,0
"Florida","Wakulla",2016,352,308,42,1,1,0,0,175,54,36,12,0,236,104,0
"Georgia","Bibb",2016,366,267,94,5,0,0,0,147,63,42,0,0,146,220,0
"Georgia","Charlton",2016,117,112,5,0,0,0,0,66,43,23,0,0,0,117,0
"Georgia","Chatham",2016,365,311,51,3,0,0,0,143,53,37,0,0,139,226,0
"Georgia","Chattooga",2016,242,217,25,0,0,0,0,93,51,42,0,0,242,0,0
"Georgia","Clarke",2016,362,295,61,4,2,0,0,162,61,40,0,0,191,171,0
"Georgia","Clayton",2016,121,98,22,1,0,0,0,145,54,34,0,0,0,121,0
"Georgia","Cobb",2016,351,244,103,3,1,0,0,200,64,44,0,0,177,174,0
"Georgia","Coffee",2016,43,40,3,0,0,0,0,54,47,31,0,0,0,43,0
"Georgia","Columbia",2016,243,217,26,0,0,0,0,93,51,40,0,0,243,0,0
"Georgia","Coweta",2016,366,303,62,0,1,0,0,154,57,39,0,0,178,188,0
"Georgia","Dawson",2016,244,216,26,2,0,0,0,126,51,42,0,0,244,0,0
"Georgia","DeKalb",2016,366,174,183,8,1,0,0,151,72,51,0,23,123,220,0
"Georgia","Dougherty",2016,363,263,100,0,0,0,0,93,59,36,0,0,0,363,0
"Georgia","Douglas",2016,245,196,42,6,1,0,0,151,67,43,0,0,245,0,0
"Georgia","Floyd",2016,326,254,72,0,0,0,0,87,57,37,0,0,0,326,0
"Georgia","Fulton",2016,366,202,151,12,1,0,0,156,71,48,0,24,103,239,0
"Georgia","Glynn",2016,343,314,27,2,0,0,0,129,49,35,0,0,182,161,0
"Georgia","Gwinnett",2016,365,284,72,9,0,0,0,147,64,42,0,0,202,163,0
"Georgia","Hall",2016,119,103,14,1,1,0,0,155,52,30,0,0,0,119,0
"Georgia","Henry",2016,365,290,66,8,1,0,0,159,64,40,0,0,200,165,0
"Georgia","Houston",2016,352,306,44,2,0,0,0,107,53,33,0,0,0,352,0
"Georgia","Lowndes",2016,327,276,51,0,0,0,0,74,54,33,0,0,0,327,0
"Georgia","Murray",2016,275,233,41,1,0,0,0,112,58,43,0,0,242,33,0
"Georgia","Muscogee",2016,360,281,74,5,0,0,0,148,58,40,0,0,175,185,0
"Georgia","Paulding",2016,364,240,122,2,0,0,0,126,62,44,0,0,124,240,0
"Georgia","Pike",2016,339,290,45,4,0,0,0,126,58,40,0,0,339,0,0
"Georgia","Richmond",2016,365,285,76,2,2,0,0,162,58,39,0,0,159,206,0
"Georgia","Rockdale",2016,240,179,52,9,0,0,0,140,80,44,0,0,240,0,0
"Georgia","Sumter",2016,245,218,26,1,0,0,0,101,54,39,0,0,245,0,0
"Georgia","Walker",2016,348,267,78,0,3,0,0,174,57,38,0,0,0,348,0
"Georgia","Washington",2016,119,108,10,1,0,0,0,105,50,29,0,0,0,119,0
"Georgia","Wilkinson",2016,117,98,17,1,1,0,0,151,56,33,0,0,0,117,0
"Hawaii","Hawaii",2016,366,22,339,5,0,0,0,117,76,61,0,0,0,366,0
"Hawaii","Honolulu",2016,366,353,13,0,0,0,0,60,43,31,0,1,282,62,21
"Hawaii","Kauai",2016,358,356,2,0,0,0,0,54,28,14,0,61,0,297,0
"Hawaii","Maui",2016,366,348,17,1,0,0,0,130,39,21,0,0,0,366,0
"Idaho","Ada",2016,366,283,76,7,0,0,0,116,67,38,0,24,270,62,10
"Idaho","Bannock",2016,366,319,47,0,0,0,0,84,52,28,0,0,0,309,57
"Idaho","Benewah",2016,366,257,101,7,1,0,0,170,67,33,0,0,0,366,0
"Idaho","Blaine",2016,113,98,15,0,0,0,0,92,56,8,0,0,0,113,0
"Idaho","Boise",2016,363,309,48,5,1,0,0,155,59,29,0,0,0,363,0
"Idaho","Bonner",2016,366,337,29,0,0,0,0,81,46,20,0,0,0,309,57
"Idaho","Bonneville",2016,324,301,23,0,0,0,0,65,47,26,0,0,0,324,0
"Idaho","Butte",2016,362,347,14,1,0,0,0,108,48,39,0,0,359,3,0
"Idaho","Canyon",2016,366,256,106,4,0,0,0,117,63,38,0,0,0,346,20
"Idaho","Custer",2016,116,104,8,3,1,0,0,165,52,8,0,0,0,116,0
"Idaho","Franklin",2016,357,306,44,7,0,0,0,125,59,25,0,0,0,357,0
"Idaho","Idaho",2016,366,319,47,0,0,0,0,80,53,30,0,0,30,336,0
"Idaho","Jerome",2016,199,199,0,0,0,0,0,42,23,13,0,0,0,199,0
"Idaho","Kootenai",2016,351,325,26,0,0,0,0,83,47,22,0,0,0,351,0
"Idaho","Latah",2016,270,268,2,0,0,0,0,58,22,8,0,0,0,270,0
"Idaho","Lemhi",2016,364,230,105,26,3,0,0,158,97,38,0,0,0,364,0
"Idaho","Nez Perce",2016,366,328,36,2,0,0,0,141,51,23,0,0,0,366,0
"Idaho","Shoshone",2016,366,245,116,5,0,0,0,150,69,35,0,0,0,364,2
"Idaho","Twin Falls",2016,352,348,4,0,0,0,0,64,31,17,0,0,0,352,0
"Idaho","Valley",2016,348,327,21,0,0,0,0,88,41,13,0,0,0,348,0
"Illinois","Adams",2016,214,199,15,0,0,0,0,80,49,36,0,0,214,0,0
"Illinois","Champaign",2016,366,302,64,0,0,0,0,100,58,39,0,0,265,101,0
"Illinois","Clark",2016,203,175,27,1,0,0,0,101,54,38,0,0,203,0,0
"Illinois","Cook",2016,366,179,169,16,2,0,0,169,80,51,0,59,132,160,15
"Illinois","DuPage",2016,241,194,38,9,0,0,0,136,64,40,0,0,178,63,0
"Illinois","Effingham",2016,214,181,33,0,0,0,0,93,54,39,0,0,214,0,0
"Illinois","Hamilton",2016,285,227,58,0,0,0,0,100,61,39,0,0,170,115,0
"Illinois","Jersey",2016,295,234,56,5,0,0,0,150,63,40,0,0,183,112,0
"Illinois","Jo Daviess",2016,350,331,18,1,0,0,0,108,46,33,0,0,350,0,0
"Illinois","Kane",2016,358,305,45,8,0,0,0,140,55,35,0,0,310,48,0
"Illinois","Lake",2016,346,306,32,8,0,0,0,140,54,34,0,0,346,0,0
"Illinois","Macon",2016,365,305,60,0,0,0,0,97,56,40,0,0,192,173,0
"Illinois","Macoupin",2016,203,182,21,0,0,0,0,97,51,39,0,0,203,0,0
"Illinois","Madison",2016,366,241,116,9,0,0,0,129,70,44,0,0,203,162,1
"Illinois","McHenry",2016,362,307,49,6,0,0,0,129,54,37,0,0,217,145,0
"Illinois","McLean",2016,366,309,56,1,0,0,0,108,57,38,0,0,294,72,0
"Illinois","Peoria",2016,366,276,88,2,0,0,0,108,58,41,0,0,195,171,0
"Illinois","Randolph",2016,295,240,54,1,0,0,0,119,58,39,0,0,170,125,0
"Illinois","Rock Island",2016,343,307,35,1,0,0,0,108,51,33,0,0,306,37,0
"Illinois","Saint Clair",2016,366,280,82,4,0,0,0,126,59,40,0,27,214,125,0
"Illinois","Sangamon",2016,364,319,44,1,0,0,0,105,53,35,0,0,323,41,0
"Illinois","Will",2016,365,283,81,1,0,0,0,105,58,40,0,0,195,170,0
"Illinois","Winnebago",2016,354,316,35,3,0,0,0,105,51,34,0,0,314,40,0
"Indiana","Allen",2016,358,264,91,3,0,0,0,119,64,40,0,0,149,209,0
"Indiana","Bartholomew",2016,366,286,75,5,0,0,0,105,64,40,0,6,139,221,0
"Indiana","Boone",2016,181,143,35,3,0,0,0,126,71,40,0,0,181,0,0
"Indiana","Brown",2016,138,123,14,1,0,0,0,101,54,36,0,0,138,0,0
"Indiana","Carroll",2016,182,147,33,2,0,0,0,101,61,39,0,0,182,0,0
"Indiana","Clark",2016,365,266,92,7,0,0,0,143,64,42,0,0,157,208,0
"Indiana","Delaware",2016,230,192,37,1,0,0,0,115,58,39,0,0,156,74,0
"Indiana","Dubois",2016,127,104,23,0,0,0,0,73,55,33,0,0,0,125,2
"Indiana","Elkhart",2016,358,265,85,8,0,0,0,131,67,39,0,0,140,218,0
"Indiana","Floyd",2016,363,277,80,6,0,0,0,143,62,40,0,0,193,170,0
"Indiana","Greene",2016,244,187,54,3,0,0,0,140,64,40,0,0,172,72,0
"Indiana","Hamilton",2016,359,271,85,3,0,0,0,115,64,41,0,0,120,239,0
"Indiana","Hendricks",2016,183,146,37,0,0,0,0,100,67,40,0,0,183,0,0
"Indiana","Henry",2016,119,106,13,0,0,0,0,65,51,28,0,0,0,119,0
"Indiana","Howard",2016,325,243,82,0,0,0,0,81,58,36,0,0,0,325,0
"Indiana","Huntington",2016,180,156,23,1,0,0,0,105,64,37,0,0,180,0,0
"Indiana","Jackson",2016,183,146,35,2,0,0,0,129,67,40,0,0,183,0,0
"Indiana","Johnson",2016,183,158,25,0,0,0,0,100,54,38,0,0,183,0,0
"Indiana","Knox",2016,359,313,42,4,0,0,0,119,61,35,0,0,359,0,0
"Indiana","LaPorte",2016,244,205,37,2,0,0,0,112,60,36,0,0,169,75,0
"Indiana","Lake",2016,366,259,101,5,0,1,0,217,64,40,1,17,115,225,8
"Indiana","Madison",2016,358,273,85,0,0,0,0,97,60,38,0,0,136,222,0
"Indiana","Marion",2016,366,207,148,11,0,0,0,143,76,48,0,4,138,222,2
"Indiana","Monroe",2016,354,338,16,0,0,0,0,61,42,25,0,0,0,354,0
"Indiana","Morgan",2016,183,154,28,1,0,0,0,105,61,39,0,0,183,0,0
"Indiana","Perry",2016,183,140,40,3,0,0,0,136,74,41,0,0,183,0,0
"Indiana","Porter",2016,366,278,81,7,0,0,0,126,65,38,0,0,159,180,27
"Indiana","Posey",2016,181,148,32,1,0,0,0,112,64,39,0,0,181,0,0
"Indiana","Shelby",2016,183,153,29,1,0,0,0,101,61,39,0,0,183,0,0
"Indiana","Spencer",2016,118,98,20,0,0,0,0,77,54,32,0,0,0,118,0
"Indiana","St. Joseph",2016,364,258,98,8,0,0,0,119,67,41,0,19,146,199,0
"Indiana","Tippecanoe",2016,347,305,42,0,0,0,0,87,52,30,0,0,0,347,0
"Indiana","Vanderburgh",2016,364,271,89,4,0,0,0,140,63,41,2,3,209,150,0
"Indiana","Vigo",2016,363,252,110,1,0,0,0,108,67,41,0,0,128,235,0
"Indiana","Wabash",2016,347,309,33,5,0,0,0,115,51,35,0,0,347,0,0
"Indiana","Warrick",2016,183,136,42,4,1,0,0,151,71,42,0,0,183,0,0
"Indiana","Whitley",2016,356,308,48,0,0,0,0,76,53,30,0,14,0,342,0
"Iowa","Black Hawk",2016,364,272,91,1,0,0,0,118,57,38,0,0,0,364,0
"Iowa","Bremer",2016,213,196,17,0,0,0,0,80,48,33,0,0,213,0,0
"Iowa","Cerro Gordo",2016,350,346,4,0,0,0,0,59,31,15,0,0,0,0,350
"Iowa","Clinton",2016,366,176,189,1,0,0,0,108,67,52,0,0,71,295,0
"Iowa","Delaware",2016,128,113,15,0,0,0,0,79,52,24,0,0,0,105,23
"Iowa","Harrison",2016,212,188,24,0,0,0,0,84,51,37,0,0,212,0,0
"Iowa","Johnson",2016,366,305,61,0,0,0,0,100,53,33,0,0,0,363,3
"Iowa","Lee",2016,113,95,18,0,0,0,0,70,54,32,0,0,0,113,0
"Iowa","Linn",2016,366,281,84,1,0,0,0,106,59,40,0,0,127,237,2
"Iowa","Montgomery",2016,366,302,63,1,0,0,0,121,54,38,0,0,161,205,0
"Iowa","Muscatine",2016,366,280,86,0,0,0,0,95,59,37,0,0,0,365,1
