"","state","production","average_price","value_of_production","year"
"829","Utah",368316.704,4.26,1569029.15904,"2015"
"830","Vermont",78925.008,9.78,771886.57824,"2015"
"831","Virginia",111583.632,9.36,1044422.79552,"2015"
"832","Washington",1357147.264,5.22,7084308.71808,"2015"
"833","WestVirginia",84368.112,8.14,686756.43168,"2015"
"834","Wisconsin",1298180.304,4.76,6179338.24704,"2015"
"835","Wyoming",1051426.256,4.16,4373933.22496,"2015"
"836","Alabama",149231.768,7.66,1143115.34288,"2016"
"837","Arizona",577876.208,4.06,2346177.40448,"2016"
"838","Arkansas",783806.976,4.12,3229284.74112,"2016"
"839","California",3742134,4.06,15193064.04,"2016"
"840","Colorado",670862.568,4.52,3032298.80736,"2016"
"841","Florida",5388672.96,3.94,21231371.4624,"2016"
"842","Georgia",1251913.92,4.86,6084301.6512,"2016"
"843","Hawaii",647729.376,3.82,2474326.21632,"2016"
"844","Idaho",1291830.016,3.86,4986463.86176,"2016"
"845","Illinois",185065.536,9.32,1724810.79552,"2016"
"846","Indiana",144242.256,6.46,931804.97376,"2016"
"847","Iowa",816465.6,4.4,3592448.64,"2016"
"848","Kansas",130634.496,7,914441.472,"2016"
"849","Kentucky",104326.16,8.08,842955.3728,"2016"
"850","Louisiana",1975846.752,3.9,7705802.3328,"2016"
"851","Maine",213188.24,10.86,2315224.2864,"2016"
"852","Michigan",2367750.24,4.88,11554621.1712,"2016"
"853","Minnesota",3762999.232,3.68,13847837.17376,"2016"
"854","Mississippi",564722.04,4.8,2710665.792,"2016"
"855","Missouri",235867.84,7.1,1674661.664,"2016"
"856","Montana",5496627.856,3.88,21326916.08128,"2016"
"857","Nebraska",1241027.712,4.08,5063393.06496,"2016"
"858","NewJersey",146963.808,8.4,1234495.9872,"2016"
"859","NewYork",1631116.832,5.88,9590966.97216,"2016"
"860","NorthCarolina",244939.68,9.02,2209355.9136,"2016"
"861","NorthDakota",16447245.92,3.6,59210085.312,"2016"
"862","Ohio",385553.2,7.2,2775983.04,"2016"
"863","Oregon",1223791.216,4.86,5947625.30976,"2016"
"864","Pennsylvania",408686.392,7.24,2958889.47808,"2016"
"865","SouthCarolina",425469.296,8.2,3488848.2272,"2016"
"866","SouthDakota",8681750.88,3.58,31080668.1504,"2016"
"867","Tennessee",187333.496,8.08,1513654.64768,"2016"
"868","Texas",3772071.072,4.2,15842698.5024,"2016"
"869","Utah",514373.328,3.84,1975193.57952,"2016"
"870","Vermont",117933.92,8.46,997720.9632,"2016"
"871","Virginia",103418.976,11.06,1143813.87456,"2016"
"872","Washington",1456937.504,3.6,5244975.0144,"2016"
"873","WestVirginia",79378.6,8.88,704881.968,"2016"
"874","Wisconsin",1580314.528,4.86,7680328.60608,"2016"
"875","Wyoming",1327210.192,3.8,5043398.7296,"2016"
"876","Alabama",165107.488,6.9,1139241.6672,"2017"
"877","Arizona",563361.264,3.94,2219643.38016,"2017"
"878","Arkansas",751148.352,3.7,2779248.9024,"2017"
"879","California",5062086.72,4.08,20653313.8176,"2017"
"880","Colorado",580597.76,4.48,2601077.9648,"2017"
"881","Florida",4876114,4.86,23697914.04,"2017"
"882","Georgia",1698248.448,5.38,9136576.65024,"2017"
"883","Hawaii",820094.336,4.62,3788835.83232,"2017"
"884","Idaho",1495946.416,3.64,5445244.95424,"2017"
"885","Illinois",217724.16,10.84,2360129.8944,"2017"
"886","Indiana",196858.928,6.92,1362263.78176,"2017"
"887","Iowa",805579.392,4.16,3351210.27072,"2017"
"888","Kansas",152406.912,6.08,926634.02496,"2017"
"889","Kentucky",104326.16,8.04,838782.3264,"2017"
"890","Louisiana",1950445.6,3.88,7567728.928,"2017"
"891","Maine",185065.536,6.76,1251043.02336,"2017"
"892","Michigan",2422181.28,4.74,11481139.2672,"2017"
"893","Minnesota",3318479.072,3.38,11216459.26336,"2017"
"894","Mississippi",732551.08,3.46,2534626.7368,"2017"
"895","Missouri",224981.632,4.62,1039415.13984,"2017"
"896","Montana",5553326.856,3.54,19658777.07024,"2017"
"897","Nebraska",1001531.136,3.82,3825848.93952,"2017"
"898","NewJersey",146963.808,14.18,2083946.79744,"2017"
"899","NewYork",1654703.616,6.38,10557009.07008,"2017"
"900","NorthCarolina",201394.848,9.56,1925334.74688,"2017"
"901","NorthDakota",17159385.36,3.7,63489725.832,"2017"
"902","Ohio",537506.52,7.86,4224801.2472,"2017"
"903","Oregon",1174803.28,3.82,4487748.5296,"2017"
"904","Pennsylvania",430912.4,6.06,2611329.144,"2017"
"905","SouthCarolina",326586.24,9.14,2984998.2336,"2017"
"906","SouthDakota",9017408.96,3.52,31741279.5392,"2017"
"907","Tennessee",149685.36,9.76,1460929.1136,"2017"
"908","Texas",4222941.52,4.16,17567436.7232,"2017"
"909","Utah",449963.264,3.86,1736858.19904,"2017"
"910","Vermont",141520.704,7.28,1030270.72512,"2017"
"911","Virginia",86182.48,11.7,1008335.016,"2017"
"912","Washington",1333560.48,3.98,5307570.7104,"2017"
"913","WestVirginia",72574.72,7.84,568985.8048,"2017"
"914","Wisconsin",1518626.016,5.34,8109462.92544,"2017"
"915","Wyoming",1233770.24,3.56,4392222.0544,"2017"
"916","Alabama",142881.48,5.76,822997.3248,"2018"
"917","Arizona",399160.96,3.98,1588660.6208,"2018"
"918","Arkansas",894483.424,3.94,3524264.69056,"2018"
"919","California",6230086.12,4.32,26913972.0384,"2018"
"920","Colorado",643647.048,4.18,2690444.66064,"2018"
"921","Florida",3998413.48,4.74,18952479.8952,"2018"
"922","Georgia",1436979.456,6,8621876.736,"2018"
"923","Hawaii",1128990.488,3.06,3454710.89328,"2018"
"924","Idaho",1896014.56,3.58,6787732.1248,"2018"
"925","Illinois",229517.552,10.18,2336488.67936,"2018"
"926","Indiana",188694.272,7.22,1362372.64384,"2018"
"927","Iowa",920791.76,4.52,4161978.7552,"2018"
"928","Kansas",250836.376,8.06,2021741.19056,"2018"
"929","Kentucky",86182.48,8.26,711867.2848,"2018"
"930","Louisiana",1579860.936,3.86,6098263.21296,"2018"
"931","Maine",179622.432,10,1796224.32,"2018"
"932","Michigan",1775812.68,4.84,8594933.3712,"2018"
"933","Minnesota",3543460.704,3.86,13677758.31744,"2018"
"934","Mississippi",702160.416,3.64,2555863.91424,"2018"
"935","Missouri",235867.84,7.4,1745422.016,"2018"
"936","Montana",4735500.48,4.42,20930912.1216,"2018"
"937","Nebraska",1200204.432,3.82,4584780.93024,"2018"
"938","NewJersey",165107.488,17.48,2886078.89024,"2018"
"939","NewYork",1447865.664,6.06,8774065.92384,"2018"
"940","NorthCarolina",204569.992,9.16,1873861.12672,"2018"
"941","NorthDakota",15272442.64,3.82,58340730.8848,"2018"
"942","Ohio",496683.24,6.48,3218507.3952,"2018"
"943","Oregon",1415207.04,4.2,5943869.568,"2018"
"944","Pennsylvania",333843.712,7.02,2343582.85824,"2018"
"945","SouthCarolina",246754.048,5.4,1332471.8592,"2018"
"946","SouthDakota",6592959.72,4.14,27294853.2408,"2018"
"947","Tennessee",130180.904,9.14,1189853.46256,"2018"
"948","Texas",3592448.64,4.34,15591227.0976,"2018"
"949","Utah",379656.504,4.16,1579371.05664,"2018"
"950","Vermont",171457.776,8.04,1378520.51904,"2018"
"951","Virginia",95254.32,11.54,1099234.8528,"2018"
"952","Washington",1571696.28,4.88,7669877.8464,"2018"
"953","WestVirginia",108862.08,7.86,855655.9488,"2018"
"954","Wisconsin",1346261.056,5.64,7592912.35584,"2018"
"955","Wyoming",937574.664,3.22,3018990.41808,"2018"
"956","Alabama",122469.84,7.44,911175.6096,"2019"
"957","Arizona",413675.904,6.02,2490328.94208,"2019"
"958","Arkansas",635028.8,3.76,2387708.288,"2019"
"959","California",6230086.12,4.22,26290963.4264,"2019"
"960","Colorado",674944.896,4.1,2767274.0736,"2019"
"961","Florida",4778591.72,4.8,22937240.256,"2019"
"962","Georgia",1511368.544,5.52,8342754.36288,"2019"
"963","Hawaii",794239.592,3.84,3049880.03328,"2019"
"964","Idaho",1349889.792,3.92,5291567.98464,"2019"
"965","Illinois",204569.992,9.66,1976146.12272,"2019"
"966","Indiana",146056.624,7.16,1045765.42784,"2019"
"967","Iowa",844588.304,4.8,4054023.8592,"2019"
"968","Kansas",165561.08,6.2,1026478.696,"2019"
"969","Kentucky",74389.088,10.86,807865.49568,"2019"
"970","Louisiana",1694166.12,3.82,6471714.5784,"2019"
"971","Maine",174179.328,5.96,1038108.79488,"2019"
"972","Michigan",1935930.656,4.98,9640934.66688,"2019"
"973","Minnesota",3292624.328,3.88,12775382.39264,"2019"
"974","Mississippi",789250.08,4.14,3267495.3312,"2019"
"975","Missouri",183704.76,5.66,1039768.9416,"2019"
"976","Montana",6676874.24,3.8,25372122.112,"2019"
"977","Nebraska",1070477.12,4.02,4303318.0224,"2019"
"978","NewJersey",182797.576,14.94,2730995.78544,"2019"
"979","NewYork",1219255.296,6.48,7900774.31808,"2019"
"980","NorthCarolina",149685.36,11.52,1724375.3472,"2019"
"981","NorthDakota",17962243.2,3.74,67178789.568,"2019"
"982","Ohio",463571.024,7.44,3448968.41856,"2019"
"983","Oregon",1476441.96,4.72,6968806.0512,"2019"
"984","Pennsylvania",379202.912,7.78,2950198.65536,"2019"
"985","SouthCarolina",348358.656,6.34,2208593.87904,"2019"
"986","SouthDakota",5436300.12,3.82,20766666.4584,"2019"
"987","Tennessee",146056.624,8.22,1200585.44928,"2019"
"988","Texas",3352952.064,4.24,14216516.75136,"2019"
"989","Utah",483529.072,4.2,2030822.1024,"2019"
"990","Vermont",152406.912,7.52,1146099.97824,"2019"
"991","Virginia",72574.72,14.48,1050881.9456,"2019"
"992","Washington",1501843.112,4.3,6457925.3816,"2019"
"993","WestVirginia",100697.424,8.66,872039.69184,"2019"
"994","Wisconsin",1040993.64,5.9,6141862.476,"2019"
"995","Wyoming",990644.928,3.82,3784263.62496,"2019"
"996","Alabama",133356.048,6.76,901486.88448,"2020"
"997","Arizona",479900.336,4.08,1957993.37088,"2020"
"998","Arkansas",498951.2,3.3,1646538.96,"2020"
"999","California",7293759.36,3.2,23340029.952,"2020"
"1000","Colorado",667687.424,4.68,3124777.14432,"2020"
"1001","Florida",4184386.2,4.92,20587180.104,"2020"
"1002","Georgia",1526790.672,5.34,8153062.18848,"2020"
"1003","Hawaii",580597.76,2.6,1509554.176,"2020"
"1004","Idaho",1335374.848,3.24,4326614.50752,"2020"
"1005","Illinois",194590.968,8.24,1603429.57632,"2020"
"1006","Indiana",224528.04,7.56,1697431.9824,"2020"
"1007","Iowa",948007.28,4.7,4455634.216,"2020"
"1008","Kansas",250836.376,4.7,1178930.9672,"2020"
"1009","Kentucky",111583.632,9.32,1039959.45024,"2020"
"1010","Louisiana",1763565.696,4.3,7583332.4928,"2020"
"1011","Maine",238135.8,6.56,1562170.848,"2020"
"1012","Michigan",2131882.4,5.12,10915237.888,"2020"
"1013","Minnesota",3157907.504,3.66,11557941.46464,"2020"
"1014","Mississippi",798321.92,3.74,2985723.9808,"2020"
"1015","Missouri",195044.56,6.7,1306798.552,"2020"
"1016","Montana",6748541.776,2.98,20110654.49248,"2020"
"1017","Nebraska",919884.576,2.88,2649267.57888,"2020"
"1018","NewJersey",190508.64,9.36,1783160.8704,"2020"
"1019","NewYork",1552191.824,8,12417534.592,"2020"
"1020","NorthCarolina",266712.096,8.22,2192373.42912,"2020"
"1021","NorthDakota",15331409.6,2.86,43847831.456,"2020"
"1022","Ohio",455859.96,6.92,3154550.9232,"2020"
"1023","Oregon",1262800.128,5,6314000.64,"2020"
"1024","Pennsylvania",430912.4,8.82,3800647.368,"2020"
"1025","SouthCarolina",341101.184,10.06,3431477.91104,"2020"
"1026","SouthDakota",8817828.48,3.12,27511624.8576,"2020"
"1027","Tennessee",206837.952,9.44,1952550.26688,"2020"
"1028","Texas",3429155.52,4.64,15911281.6128,"2020"
"1029","Utah",289391.696,3.94,1140203.28224,"2020"
"1030","Vermont",130634.496,8.96,1170485.08416,"2020"
"1031","Virginia",88450.44,14.38,1271917.3272,"2020"
"1032","Washington",1285933.32,4.36,5606669.2752,"2020"
"1033","WestVirginia",100697.424,8.52,857942.05248,"2020"
"1034","Wisconsin",980665.904,6,5883995.424,"2020"
"1035","Wyoming",990644.928,2.86,2833244.49408,"2020"
"1036","Alabama",123830.616,11.04,1367090.00064,"2021"
"1037","Arizona",408232.8,4.76,1943188.128,"2021"
"1038","Arkansas",444520.16,3.7,1644724.592,"2021"
"1039","California",6241425.92,3.9,24341561.088,"2021"
"1040","Colorado",557918.16,4.78,2666848.8048,"2021"
"1041","Florida",4006124.544,4.48,17947437.95712,"2021"
"1042","Georgia",1557634.928,5.04,7850480.03712,"2021"
"1043","Hawaii",714407.4,3.4,2428985.16,"2021"
"1044","Idaho",1698702.04,3.52,5979431.1808,"2021"
"1045","Illinois",235867.84,11.3,2665306.592,"2021"
"1046","Indiana",224528.04,7.82,1755809.2728,"2021"
"1047","Iowa",920791.76,5.08,4677622.1408,"2021"
"1048","Kansas",224981.632,6.5,1462380.608,"2021"
"1049","Kentucky",104779.752,11.52,1207062.74304,"2021"
"1050","Louisiana",1032828.984,4.92,5081518.60128,"2021"
"1051","Maine",136077.6,6.72,914441.472,"2021"
"1052","Michigan",2025288.28,5.9,11949200.852,"2021"
"1053","Minnesota",2694336.48,3.6,9699611.328,"2021"
"1054","Mississippi",827805.4,3.98,3294665.492,"2021"
"1055","Missouri",167375.448,7.18,1201755.71664,"2021"
"1056","Montana",4041504.72,3.22,13013645.1984,"2021"
"1057","Nebraska",872711.008,3.38,2949763.20704,"2021"
"1058","NewJersey",196858.928,8.64,1700861.13792,"2021"
"1059","NewYork",1473266.816,6.26,9222650.26816,"2021"
"1060","NorthCarolina",206837.952,11,2275217.472,"2021"
"1061","NorthDakota",17513187.12,3.18,55691935.0416,"2021"
"1062","Ohio",544310.4,7,3810172.8,"2021"
"1063","Oregon",1249645.96,4.8,5998300.608,"2021"
"1064","Pennsylvania",413675.904,8.24,3408689.44896,"2021"
"1065","SouthCarolina",333843.712,6.88,2296844.73856,"2021"
"1066","SouthDakota",6778932.44,3.54,23997420.8376,"2021"
"1067","Tennessee",161932.344,8.46,1369947.63024,"2021"
"1068","Texas",4059194.808,4,16236779.232,"2021"
"1069","Utah",431819.584,4.04,1744551.11936,"2021"
"1070","Vermont",127912.944,7.88,1007953.99872,"2021"
"1071","Virginia",90718.4,12.06,1094063.904,"2021"
"1072","Washington",1644724.592,5.02,8256517.45184,"2021"
"1073","WestVirginia",125191.392,7.62,953958.40704,"2021"
"1074","Wisconsin",1020582,6.22,6348020.04,"2021"
"1075","Wyoming",689459.84,3.42,2357952.6528,"2021"
"1076","Alabama",145149.44,11.98,1738890.2912,"2022"
"1077","Arizona",471735.68,4.68,2207722.9824,"2022"
"1078","Arkansas",385553.2,4.14,1596190.248,"2022"
"1079","California",4340875.44,4.8,20836202.112,"2022"
"1080","Colorado",526166.72,5.56,2925486.9632,"2022"
"1081","Florida",3851903.264,4.84,18643211.79776,"2022"
"1082","Georgia",1480524.288,5.46,8083662.61248,"2022"
"1083","Hawaii",632760.84,4.42,2796802.9128,"2022"
"1084","Idaho",1360776,4.74,6450078.24,"2022"
"1085","Illinois",208652.32,11.66,2432886.0512,"2022"
"1086","Indiana",235867.84,7.78,1835051.7952,"2022"
"1087","Iowa",948007.28,4.92,4664195.8176,"2022"
"1088","Kansas",133356.048,5.48,730791.14304,"2022"
"1089","Kentucky",117480.328,9.2,1080819.0176,"2022"
"1090","Louisiana",973408.432,5,4867042.16,"2022"
"1091","Maine",169643.408,6.36,1078932.07488,"2022"
"1092","Michigan",2336452.392,5.94,13878527.20848,"2022"
"1093","Minnesota",3231843,4.64,14995751.52,"2022"
"1094","Mississippi",805125.8,5.54,4460396.932,"2022"
"1095","Missouri",127005.76,7.98,1013505.9648,"2022"
"1096","Montana",3025005.048,4.34,13128521.90832,"2022"
"1097","Nebraska",831434.136,4.34,3608424.15024,"2022"
"1098","NewJersey",238135.8,6.54,1557408.132,"2022"
"1099","NewYork",1370301.432,8.3,11373501.8856,"2022"
"1100","NorthCarolina",229971.144,13.68,3146005.24992,"2022"
"1101","NorthDakota",12847993.4,4.38,56274211.092,"2022"
"1102","Ohio",464478.208,7.4,3437138.7392,"2022"
"1103","Oregon",1209276.272,4.28,5175702.44416,"2022"
"1104","Pennsylvania",381017.28,6.8,2590917.504,"2022"
"1105","SouthCarolina",304813.824,10.64,3243219.08736,"2022"
"1106","SouthDakota",5556502,4.54,25226519.08,"2022"
"1107","Tennessee",203209.216,10,2032092.16,"2022"
"1108","Texas",3479957.824,4.6,16007805.9904,"2022"
"1109","Utah",464024.616,4.36,2023147.32576,"2022"
"1110","Vermont",149231.768,6.56,978960.39808,"2022"
"1111","Virginia",108862.08,16.46,1791869.8368,"2022"
"1112","Washington",1393434.624,5.04,7022910.50496,"2022"
"1113","WestVirginia",117026.736,9.6,1123456.6656,"2022"
"1114","Wisconsin",895390.608,5.62,5032095.21696,"2022"
"1115","Wyoming",999716.768,4.14,4138827.41952,"2022"
