"state","year","months","time","colony_n","colony_max","colony_lost","colony_lost_pct","colony_added","colony_reno","colony_reno_pct","Varroa.mites","Other.pests.parasites","Disesases","Pesticides","Other","Unknown","MaximumTemperature","MinimumTemperature","PalmerDroughtSeverityIndexPDSI","Precipitation","AverageTemperature","status","clusterMIN","clusterMAX","clusterAVG","clusterPREC","clusterPDSI"
"missouri",2022,"Q2",30,10500,10500,1500,14,6000,4800,46,11.5,3.1,0.9,0.5,2.8,1.2,30.33,5.39,1.19,4.51333333333333,18.19,"Censor","cluster3","cluster1","cluster3","cluster2","cluster2"
"montana",2022,"Q2",30,38000,102000,970,1,5500,8000,8,9.2,0,0,1.8,8.8,0,21.83,-4.67,-4.12,2.4,8.56,"Censor","cluster2","cluster2","cluster1","cluster1","cluster1"
"nebraska",2016,"Q4",8,37000,37000,4300,12,190,0,0,10.5,1.4,0.2,1.2,0.4,1.5,21.17,-11.11,2.49333333333333,0.946666666666667,5.09,"Event","cluster3","cluster1","cluster3","cluster3","cluster3"
"new jersey",2016,"Q1",5,6000,6000,1000,17,80,20,0,8,1.1,0.2,0.6,1.7,12,14.5,-5.56,-1.24333333333333,3.04666666666667,3.41,"Event","cluster3","cluster1","cluster3","cluster1","cluster2"
"new mexico",2022,"Q2",30,7000,7000,1600,23,4200,2200,31,52,8.6,8.6,0.9,1.5,0.7,30.61,3.22,-5.08,0.903333333333333,17.89,"Censor","cluster3","cluster3","cluster2","cluster3","cluster1"
"new york",2017,"Q1",9,32000,33000,6000,18,520,0,0,20.4,9.4,9.8,4.4,13.2,10.8,4.28,-7.39,0.703333333333333,3.28,-1.72,"Event","cluster3","cluster2","cluster3","cluster1","cluster2"
"north carolina",2019,"Q4",20,17500,18000,3200,18,240,770,4,44.5,21,4.5,2.4,15.7,11.7,24.11,2.17,0.226666666666667,4.27,11.59,"Event","cluster1","cluster3","cluster2","cluster1","cluster2"
"north dakota",2016,"Q1",5,89000,137000,8500,6,4600,0,0,2.7,0,0,0,0.1,11.7,8.94,-14.22,-1.03333333333333,0.38,-3.61,"Event","cluster2","cluster2","cluster1","cluster3","cluster3"
"ohio",2022,"Q2",30,14500,14500,400,3,4300,1200,8,51.2,5.6,5.1,3.3,2.3,2.1,28.11,3.39,2.09333333333333,4.05666666666667,16.13,"Censor","cluster3","cluster1","cluster3","cluster1","cluster2"
"oklahoma",2016,"Q4",8,3100,44000,2700,6,120,30,0,4.9,0.5,0,0.1,0.1,0.7,26.83,-2.94,-1.28666666666667,1.29333333333333,12.09,"Event","cluster1","cluster3","cluster2","cluster2","cluster2"
"oregon",2022,"Q2",30,94000,96000,4200,4,12500,19500,20,49.3,23.2,9.5,16.1,17.5,0,21.72,-1.5,1.86333333333333,3.51,9.26,"Censor","cluster3","cluster1","cluster3","cluster3","cluster1"
"other states",2016,"Q1",5,7340,7940,900,11,60,0,0,5.5,2.3,0.5,2.1,8.6,0.1,NA,NA,NA,NA,NA,"Event","cluster1","cluster3","cluster2","cluster1","cluster3"
"pennsylvania",2016,"Q1",5,12500,12500,2900,23,480,170,1,44.8,4.3,0.3,3.8,5.5,4.6,12.78,-8.5,-0.316666666666667,2.76333333333333,0.63,"Event","cluster3","cluster1","cluster3","cluster1","cluster2"
"south carolina",2016,"Q1",5,16500,16500,3500,21,3200,380,2,10.7,2.3,0.6,2,5.1,4.8,22.67,0.33,-0.3,3.23333333333333,10.3,"Event","cluster1","cluster3","cluster2","cluster1","cluster1"
"south dakota",2016,"Q1",5,47000,79000,10500,13,1600,0,0,0.2,0,0,0,0.5,0.3,11.89,-11.67,3.28,0.63,-0.91,"Event","cluster2","cluster2","cluster1","cluster3","cluster3"
"tennessee",2019,"Q1",17,6000,7000,1500,21,240,320,5,62.8,23.6,5.1,0.9,7.7,7.1,14.56,-0.61,4.79333333333333,7.37,6.85,"Event","cluster1","cluster3","cluster2","cluster1","cluster2"
"texas",2022,"Q2",30,345000,415000,41000,10,83000,114000,27,39.2,30,0,0.7,5.2,0.9,35.72,12.78,-4.81333333333333,1.67333333333333,24.89,"Censor","cluster1","cluster3","cluster2","cluster2","cluster3"
"utah",2022,"Q2",30,23000,29000,4300,15,8500,5000,17,40.1,0.8,6.9,7.9,13.8,8.3,28.28,0.06,-4.44333333333333,0.603333333333333,13.46,"Censor","cluster3","cluster1","cluster3","cluster1","cluster1"
"vermont",2018,"Q1",13,5500,5500,810,15,20,0,0,17,1.2,0.3,0.6,2,0.8,2.44,-13.89,0.35,3.15666666666667,-4.78,"Event","cluster2","cluster2","cluster1","cluster1","cluster1"
"virginia",2022,"Q2",30,9000,10500,580,6,2900,680,6,30.8,21.7,0.9,0.6,18.1,1.7,28.78,5.78,-1.29333333333333,3.85333333333333,17.87,"Censor","cluster1","cluster1","cluster2","cluster1","cluster2"
"washington",2016,"Q1",5,77000,146000,13500,9,5500,1200,1,23.3,10.5,1.3,1.7,1.9,5.1,10.22,-2.17,1.99333333333333,6.29666666666667,3.31,"Event","cluster3","cluster1","cluster3","cluster3","cluster1"
"west virginia",2018,"Q1",13,4700,8500,2500,29,330,60,1,15,8,2,3.4,20.8,4.9,10.94,-8.44,0.826666666666667,4.64333333333333,1.98,"Event","cluster3","cluster1","cluster3","cluster1","cluster2"
"wisconsin",2016,"Q1",5,20000,21000,3100,15,530,0,0,24.2,1.6,1.1,13.4,10.8,10.4,7.78,-13,3.31333333333333,1.86333333333333,-3.78,"Event","cluster2","cluster2","cluster1","cluster3","cluster3"
"wyoming",2022,"Q2",30,8000,23000,1900,8,4500,1800,8,5.6,2.5,5.1,0,3,1,23.28,-5,-4.29,1.88333333333333,8.44,"Censor","cluster2","cluster2","cluster1","cluster2","cluster1"
