"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","Year","Period","State"
"3,800",2022,"FIRST OF JAN","COLORADO"
"4,000",2022,"FIRST OF JAN","CONNECTICUT"
"295,000",2022,"FIRST OF JAN","FLORIDA"
"118,000",2022,"FIRST OF JAN","GEORGIA"
"21,000",2022,"FIRST OF JAN","HAWAII"
"194,000",2022,"FIRST OF JAN","IDAHO"
"11,500",2022,"FIRST OF JAN","ILLINOIS"
"11,000",2022,"FIRST OF JAN","INDIANA"
"26,000",2022,"FIRST OF JAN","IOWA"
"5,000",2022,"FIRST OF JAN","KANSAS"
"8,500",2022,"FIRST OF JAN","KENTUCKY"
"35,000",2022,"FIRST OF JAN","LOUISIANA"
"3,100",2022,"FIRST OF JAN","MAINE"
"6,500",2022,"FIRST OF JAN","MARYLAND"
"6,000",2022,"FIRST OF JAN","MASSACHUSETTS"
"66,000",2022,"FIRST OF JAN","MICHIGAN"
"95,000",2022,"FIRST OF JAN","MINNESOTA"
"20,000",2022,"FIRST OF JAN","MISSISSIPPI"
"7,000",2022,"FIRST OF JAN","MISSOURI"
"45,000",2022,"FIRST OF JAN","MONTANA"
"24,000",2022,"FIRST OF JAN","NEBRASKA"
"15,000",2022,"FIRST OF JAN","NEW JERSEY"
"5,500",2022,"FIRST OF JAN","NEW MEXICO"
"44,000",2022,"FIRST OF JAN","NEW YORK"
"20,000",2022,"FIRST OF JAN","NORTH CAROLINA"
"75,000",2022,"FIRST OF JAN","NORTH DAKOTA"
"16,000",2022,"FIRST OF JAN","OHIO"
"20,000",2022,"FIRST OF JAN","OKLAHOMA"
"92,000",2022,"FIRST OF JAN","OREGON"
"6,870",2022,"FIRST OF JAN","OTHER STATES"
"23,000",2022,"FIRST OF JAN","PENNSYLVANIA"
"17,000",2022,"FIRST OF JAN","SOUTH CAROLINA"
"21,000",2022,"FIRST OF JAN","SOUTH DAKOTA"
"10,500",2022,"FIRST OF JAN","TENNESSEE"
"270,000",2022,"FIRST OF JAN","TEXAS"
"28,000",2022,"FIRST OF JAN","UTAH"
"7,000",2022,"FIRST OF JAN","VERMONT"
"7,500",2022,"FIRST OF JAN","VIRGINIA"
"70,000",2022,"FIRST OF JAN","WASHINGTON"
"5,500",2022,"FIRST OF JAN","WEST VIRGINIA"
"39,000",2022,"FIRST OF JAN","WISCONSIN"
"6,000",2022,"FIRST OF JAN","WYOMING"
"9,500",2021,"FIRST OF APR","ALABAMA"
"26,000",2021,"FIRST OF APR","ARIZONA"
"12,500",2021,"FIRST OF APR","ARKANSAS"
"1,090,000",2021,"FIRST OF APR","CALIFORNIA"
"17,000",2021,"FIRST OF APR","COLORADO"
"3,800",2021,"FIRST OF APR","CONNECTICUT"
"280,000",2021,"FIRST OF APR","FLORIDA"
"134,000",2021,"FIRST OF APR","GEORGIA"
"21,000",2021,"FIRST OF APR","HAWAII"
"86,000",2021,"FIRST OF APR","IDAHO"
"12,500",2021,"FIRST OF APR","ILLINOIS"
"11,000",2021,"FIRST OF APR","INDIANA"
"25,000",2021,"FIRST OF APR","IOWA"
"7,500",2021,"FIRST OF APR","KANSAS"
"10,000",2021,"FIRST OF APR","KENTUCKY"
"29,000",2021,"FIRST OF APR","LOUISIANA"
"2,200",2021,"FIRST OF APR","MAINE"
"6,500",2021,"FIRST OF APR","MARYLAND"
"3,700",2021,"FIRST OF APR","MASSACHUSETTS"
"74,000",2021,"FIRST OF APR","MICHIGAN"
"69,000",2021,"FIRST OF APR","MINNESOTA"
"34,000",2021,"FIRST OF APR","MISSISSIPPI"
"4,800",2021,"FIRST OF APR","MISSOURI"
"38,000",2021,"FIRST OF APR","MONTANA"
"18,500",2021,"FIRST OF APR","NEBRASKA"
"14,500",2021,"FIRST OF APR","NEW JERSEY"
"5,500",2021,"FIRST OF APR","NEW MEXICO"
"28,000",2021,"FIRST OF APR","NEW YORK"
"22,000",2021,"FIRST OF APR","NORTH CAROLINA"
"42,000",2021,"FIRST OF APR","NORTH DAKOTA"
"13,000",2021,"FIRST OF APR","OHIO"
"17,000",2021,"FIRST OF APR","OKLAHOMA"
"60,000",2021,"FIRST OF APR","OREGON"
"6,020",2021,"FIRST OF APR","OTHER STATES"
"20,000",2021,"FIRST OF APR","PENNSYLVANIA"
"18,000",2021,"FIRST OF APR","SOUTH CAROLINA"
"16,500",2021,"FIRST OF APR","SOUTH DAKOTA"
"12,000",2021,"FIRST OF APR","TENNESSEE"
"365,000",2021,"FIRST OF APR","TEXAS"
"20,000",2021,"FIRST OF APR","UTAH"
"7,000",2021,"FIRST OF APR","VERMONT"
"8,000",2021,"FIRST OF APR","VIRGINIA"
"66,000",2021,"FIRST OF APR","WASHINGTON"
"8,000",2021,"FIRST OF APR","WEST VIRGINIA"
"42,000",2021,"FIRST OF APR","WISCONSIN"
"13,500",2021,"FIRST OF APR","WYOMING"
"10,000",2021,"FIRST OF JAN","ALABAMA"
"28,000",2021,"FIRST OF JAN","ARIZONA"
"21,000",2021,"FIRST OF JAN","ARKANSAS"
"1,180,000",2021,"FIRST OF JAN","CALIFORNIA"
"3,000",2021,"FIRST OF JAN","COLORADO"
"4,200",2021,"FIRST OF JAN","CONNECTICUT"
"300,000",2021,"FIRST OF JAN","FLORIDA"
"120,000",2021,"FIRST OF JAN","GEORGIA"
"19,500",2021,"FIRST OF JAN","HAWAII"
"167,000",2021,"FIRST OF JAN","IDAHO"
"11,500",2021,"FIRST OF JAN","ILLINOIS"
"10,000",2021,"FIRST OF JAN","INDIANA"
"15,000",2021,"FIRST OF JAN","IOWA"
"5,000",2021,"FIRST OF JAN","KANSAS"
"11,000",2021,"FIRST OF JAN","KENTUCKY"
"51,000",2021,"FIRST OF JAN","LOUISIANA"
"2,900",2021,"FIRST OF JAN","MAINE"
"7,000",2021,"FIRST OF JAN","MARYLAND"
"5,000",2021,"FIRST OF JAN","MASSACHUSETTS"
"78,000",2021,"FIRST OF JAN","MICHIGAN"
"61,000",2021,"FIRST OF JAN","MINNESOTA"
"31,000",2021,"FIRST OF JAN","MISSISSIPPI"
"5,500",2021,"FIRST OF JAN","MISSOURI"
"40,000",2021,"FIRST OF JAN","MONTANA"
"11,000",2021,"FIRST OF JAN","NEBRASKA"
"14,000",2021,"FIRST OF JAN","NEW JERSEY"
"3,500",2021,"FIRST OF JAN","NEW MEXICO"
"30,000",2021,"FIRST OF JAN","NEW YORK"
"18,000",2021,"FIRST OF JAN","NORTH CAROLINA"
"51,000",2021,"FIRST OF JAN","NORTH DAKOTA"
"17,500",2021,"FIRST OF JAN","OHIO"
"28,000",2021,"FIRST OF JAN","OKLAHOMA"
"76,000",2021,"FIRST OF JAN","OREGON"
"6,640",2021,"FIRST OF JAN","OTHER STATES"
"23,000",2021,"FIRST OF JAN","PENNSYLVANIA"
"15,500",2021,"FIRST OF JAN","SOUTH CAROLINA"
"28,000",2021,"FIRST OF JAN","SOUTH DAKOTA"
"12,000",2021,"FIRST OF JAN","TENNESSEE"
"240,000",2021,"FIRST OF JAN","TEXAS"
"17,500",2021,"FIRST OF JAN","UTAH"
"7,500",2021,"FIRST OF JAN","VERMONT"
"7,500",2021,"FIRST OF JAN","VIRGINIA"
"48,000",2021,"FIRST OF JAN","WASHINGTON"
"7,000",2021,"FIRST OF JAN","WEST VIRGINIA"
"42,000",2021,"FIRST OF JAN","WISCONSIN"
"13,000",2021,"FIRST OF JAN","WYOMING"
"9,500",2021,"FIRST OF JUL","ALABAMA"
"31,000",2021,"FIRST OF JUL","ARIZONA"
"20,000",2021,"FIRST OF JUL","ARKANSAS"
"650,000",2021,"FIRST OF JUL","CALIFORNIA"
"22,000",2021,"FIRST OF JUL","COLORADO"
"4,200",2021,"FIRST OF JUL","CONNECTICUT"
"235,000",2021,"FIRST OF JUL","FLORIDA"
"116,000",2021,"FIRST OF JUL","GEORGIA"
"21,000",2021,"FIRST OF JUL","HAWAII"
"86,000",2021,"FIRST OF JUL","IDAHO"
"14,500",2021,"FIRST OF JUL","ILLINOIS"
"16,500",2021,"FIRST OF JUL","INDIANA"
"37,000",2021,"FIRST OF JUL","IOWA"
"9,000",2021,"FIRST OF JUL","KANSAS"
"10,500",2021,"FIRST OF JUL","KENTUCKY"
"29,000",2021,"FIRST OF JUL","LOUISIANA"
"10,000",2021,"FIRST OF JUL","MAINE"
"6,000",2021,"FIRST OF JUL","MARYLAND"
"13,000",2021,"FIRST OF JUL","MASSACHUSETTS"
"120,000",2021,"FIRST OF JUL","MICHIGAN"
"106,000",2021,"FIRST OF JUL","MINNESOTA"
"18,500",2021,"FIRST OF JUL","MISSISSIPPI"
"6,500",2021,"FIRST OF JUL","MISSOURI"
"103,000",2021,"FIRST OF JUL","MONTANA"
"45,000",2021,"FIRST OF JUL","NEBRASKA"
"19,500",2021,"FIRST OF JUL","NEW JERSEY"
"5,500",2021,"FIRST OF JUL","NEW MEXICO"
"62,000",2021,"FIRST OF JUL","NEW YORK"
"23,000",2021,"FIRST OF JUL","NORTH CAROLINA"
"510,000",2021,"FIRST OF JUL","NORTH DAKOTA"
"21,000",2021,"FIRST OF JUL","OHIO"
"3,300",2021,"FIRST OF JUL","OKLAHOMA"
"130,000",2021,"FIRST OF JUL","OREGON"
"8,890",2021,"FIRST OF JUL","OTHER STATES"
"25,000",2021,"FIRST OF JUL","PENNSYLVANIA"
"17,000",2021,"FIRST OF JUL","SOUTH CAROLINA"
"230,000",2021,"FIRST OF JUL","SOUTH DAKOTA"
"13,500",2021,"FIRST OF JUL","TENNESSEE"
"138,000",2021,"FIRST OF JUL","TEXAS"
"37,000",2021,"FIRST OF JUL","UTAH"
"7,000",2021,"FIRST OF JUL","VERMONT"
"10,500",2021,"FIRST OF JUL","VIRGINIA"
"72,000",2021,"FIRST OF JUL","WASHINGTON"
"8,000",2021,"FIRST OF JUL","WEST VIRGINIA"
"66,000",2021,"FIRST OF JUL","WISCONSIN"
"27,000",2021,"FIRST OF JUL","WYOMING"
"9,000",2021,"FIRST OF OCT","ALABAMA"
"23,000",2021,"FIRST OF OCT","ARIZONA"
"18,000",2021,"FIRST OF OCT","ARKANSAS"
"640,000",2021,"FIRST OF OCT","CALIFORNIA"
"12,000",2021,"FIRST OF OCT","COLORADO"
"4,000",2021,"FIRST OF OCT","CONNECTICUT"
"255,000",2021,"FIRST OF OCT","FLORIDA"
"131,000",2021,"FIRST OF OCT","GEORGIA"
"20,000",2021,"FIRST OF OCT","HAWAII"
"141,000",2021,"FIRST OF OCT","IDAHO"
"12,500",2021,"FIRST OF OCT","ILLINOIS"
"14,500",2021,"FIRST OF OCT","INDIANA"
"51,000",2021,"FIRST OF OCT","IOWA"
"8,000",2021,"FIRST OF OCT","KANSAS"
"10,500",2021,"FIRST OF OCT","KENTUCKY"
"30,000",2021,"FIRST OF OCT","LOUISIANA"
"5,500",2021,"FIRST OF OCT","MAINE"
"5,500",2021,"FIRST OF OCT","MARYLAND"
"10,500",2021,"FIRST OF OCT","MASSACHUSETTS"
"105,000",2021,"FIRST OF OCT","MICHIGAN"
"100,000",2021,"FIRST OF OCT","MINNESOTA"
"15,500",2021,"FIRST OF OCT","MISSISSIPPI"
"6,000",2021,"FIRST OF OCT","MISSOURI"
"92,000",2021,"FIRST OF OCT","MONTANA"
"43,000",2021,"FIRST OF OCT","NEBRASKA"
"19,500",2021,"FIRST OF OCT","NEW JERSEY"
"5,500",2021,"FIRST OF OCT","NEW MEXICO"
"65,000",2021,"FIRST OF OCT","NEW YORK"
"21,000",2021,"FIRST OF OCT","NORTH CAROLINA"
"485,000",2021,"FIRST OF OCT","NORTH DAKOTA"
"13,500",2021,"FIRST OF OCT","OHIO"
"3,300",2021,"FIRST OF OCT","OKLAHOMA"
"103,000",2021,"FIRST OF OCT","OREGON"
"8,990",2021,"FIRST OF OCT","OTHER STATES"
"26,000",2021,"FIRST OF OCT","PENNSYLVANIA"
"20,000",2021,"FIRST OF OCT","SOUTH CAROLINA"
"190,000",2021,"FIRST OF OCT","SOUTH DAKOTA"
"15,500",2021,"FIRST OF OCT","TENNESSEE"
"146,000",2021,"FIRST OF OCT","TEXAS"
"37,000",2021,"FIRST OF OCT","UTAH"
"7,000",2021,"FIRST OF OCT","VERMONT"
"8,500",2021,"FIRST OF OCT","VIRGINIA"
"79,000",2021,"FIRST OF OCT","WASHINGTON"
"7,500",2021,"FIRST OF OCT","WEST VIRGINIA"
"47,000",2021,"FIRST OF OCT","WISCONSIN"
"21,000",2021,"FIRST OF OCT","WYOMING"
"8,000",2021,"MARKETING YEAR","ALABAMA"
"26,000",2021,"MARKETING YEAR","ARIZONA"
"17,000",2021,"MARKETING YEAR","ARKANSAS"
"290,000",2021,"MARKETING YEAR","CALIFORNIA"
"29,000",2021,"MARKETING YEAR","COLORADO"
"193,000",2021,"MARKETING YEAR","FLORIDA"
"96,000",2021,"MARKETING YEAR","GEORGIA"
"15,000",2021,"MARKETING YEAR","HAWAII"
"100,000",2021,"MARKETING YEAR","IDAHO"
"10,000",2021,"MARKETING YEAR","ILLINOIS"
"10,000",2021,"MARKETING YEAR","INDIANA"
"38,000",2021,"MARKETING YEAR","IOWA"
"7,000",2021,"MARKETING YEAR","KANSAS"
"7,000",2021,"MARKETING YEAR","KENTUCKY"
"37,000",2021,"MARKETING YEAR","LOUISIANA"
"11,000",2021,"MARKETING YEAR","MAINE"
"101,000",2021,"MARKETING YEAR","MICHIGAN"
"125,000",2021,"MARKETING YEAR","MINNESOTA"
"25,000",2021,"MARKETING YEAR","MISSISSIPPI"
"8,000",2021,"MARKETING YEAR","MISSOURI"
"117,000",2021,"MARKETING YEAR","MONTANA"
"39,000",2021,"MARKETING YEAR","NEBRASKA"
"15,000",2021,"MARKETING YEAR","NEW JERSEY"
"57,000",2021,"MARKETING YEAR","NEW YORK"
"13,000",2021,"MARKETING YEAR","NORTH CAROLINA"
"515,000",2021,"MARKETING YEAR","NORTH DAKOTA"
"16,000",2021,"MARKETING YEAR","OHIO"
"86,000",2021,"MARKETING YEAR","OREGON"
"28,000",2021,"MARKETING YEAR","OTHER STATES"
"20,000",2021,"MARKETING YEAR","PENNSYLVANIA"
"16,000",2021,"MARKETING YEAR","SOUTH CAROLINA"
"250,000",2021,"MARKETING YEAR","SOUTH DAKOTA"
"8,000",2021,"MARKETING YEAR","TENNESSEE"
"137,000",2021,"MARKETING YEAR","TEXAS"
"31,000",2021,"MARKETING YEAR","UTAH"
"7,000",2021,"MARKETING YEAR","VERMONT"
"6,000",2021,"MARKETING YEAR","VIRGINIA"
"96,000",2021,"MARKETING YEAR","WASHINGTON"
"6,000",2021,"MARKETING YEAR","WEST VIRGINIA"
"42,000",2021,"MARKETING YEAR","WISCONSIN"
"38,000",2021,"MARKETING YEAR","WYOMING"
NA,2021,"OCT THRU DEC","ARIZONA"
NA,2021,"OCT THRU DEC","COLORADO"
NA,2021,"OCT THRU DEC","MARYLAND"
NA,2021,"OCT THRU DEC","NEW JERSEY"
NA,2021,"OCT THRU DEC","NEW MEXICO"
"8,500",2020,"FIRST OF APR","ALABAMA"
"26,000",2020,"FIRST OF APR","ARIZONA"
"17,000",2020,"FIRST OF APR","ARKANSAS"
"1,200,000",2020,"FIRST OF APR","CALIFORNIA"
"16,500",2020,"FIRST OF APR","COLORADO"
"3,900",2020,"FIRST OF APR","CONNECTICUT"
"310,000",2020,"FIRST OF APR","FLORIDA"
"145,000",2020,"FIRST OF APR","GEORGIA"
"15,500",2020,"FIRST OF APR","HAWAII"
"48,000",2020,"FIRST OF APR","IDAHO"
"12,000",2020,"FIRST OF APR","ILLINOIS"
"11,000",2020,"FIRST OF APR","INDIANA"
"21,000",2020,"FIRST OF APR","IOWA"
"7,500",2020,"FIRST OF APR","KANSAS"
"11,000",2020,"FIRST OF APR","KENTUCKY"
"53,000",2020,"FIRST OF APR","LOUISIANA"
"1,600",2020,"FIRST OF APR","MAINE"
"7,000",2020,"FIRST OF APR","MARYLAND"
"4,400",2020,"FIRST OF APR","MASSACHUSETTS"
"64,000",2020,"FIRST OF APR","MICHIGAN"
"59,000",2020,"FIRST OF APR","MINNESOTA"
"34,000",2020,"FIRST OF APR","MISSISSIPPI"
"6,500",2020,"FIRST OF APR","MISSOURI"
"48,000",2020,"FIRST OF APR","MONTANA"
"16,500",2020,"FIRST OF APR","NEBRASKA"
"7,000",2020,"FIRST OF APR","NEW JERSEY"
"3,100",2020,"FIRST OF APR","NEW MEXICO"
"34,000",2020,"FIRST OF APR","NEW YORK"
"24,000",2020,"FIRST OF APR","NORTH CAROLINA"
"67,000",2020,"FIRST OF APR","NORTH DAKOTA"
"15,500",2020,"FIRST OF APR","OHIO"
"16,000",2020,"FIRST OF APR","OKLAHOMA"
"89,000",2020,"FIRST OF APR","OREGON"
"6,500",2020,"FIRST OF APR","OTHER STATES"
"24,000",2020,"FIRST OF APR","PENNSYLVANIA"
"18,500",2020,"FIRST OF APR","SOUTH CAROLINA"
"9,500",2020,"FIRST OF APR","SOUTH DAKOTA"
"13,500",2020,"FIRST OF APR","TENNESSEE"
"360,000",2020,"FIRST OF APR","TEXAS"
"21,000",2020,"FIRST OF APR","UTAH"
"7,000",2020,"FIRST OF APR","VERMONT"
"7,500",2020,"FIRST OF APR","VIRGINIA"
"50,000",2020,"FIRST OF APR","WASHINGTON"
"7,500",2020,"FIRST OF APR","WEST VIRGINIA"
"27,000",2020,"FIRST OF APR","WISCONSIN"
"17,500",2020,"FIRST OF APR","WYOMING"
"5,500",2020,"FIRST OF JAN","ALABAMA"
"29,000",2020,"FIRST OF JAN","ARIZONA"
"16,500",2020,"FIRST OF JAN","ARKANSAS"
"1,350,000",2020,"FIRST OF JAN","CALIFORNIA"
"4,500",2020,"FIRST OF JAN","COLORADO"
"3,700",2020,"FIRST OF JAN","CONNECTICUT"
"295,000",2020,"FIRST OF JAN","FLORIDA"
"115,000",2020,"FIRST OF JAN","GEORGIA"
"16,000",2020,"FIRST OF JAN","HAWAII"
"156,000",2020,"FIRST OF JAN","IDAHO"
"11,500",2020,"FIRST OF JAN","ILLINOIS"
"11,000",2020,"FIRST OF JAN","INDIANA"
"9,000",2020,"FIRST OF JAN","IOWA"
"4,500",2020,"FIRST OF JAN","KANSAS"
"7,000",2020,"FIRST OF JAN","KENTUCKY"
"44,000",2020,"FIRST OF JAN","LOUISIANA"
"1,300",2020,"FIRST OF JAN","MAINE"
"7,000",2020,"FIRST OF JAN","MARYLAND"
"3,800",2020,"FIRST OF JAN","MASSACHUSETTS"
"60,000",2020,"FIRST OF JAN","MICHIGAN"
"21,000",2020,"FIRST OF JAN","MINNESOTA"
"26,000",2020,"FIRST OF JAN","MISSISSIPPI"
"8,500",2020,"FIRST OF JAN","MISSOURI"
"18,000",2020,"FIRST OF JAN","MONTANA"
"9,000",2020,"FIRST OF JAN","NEBRASKA"
"6,500",2020,"FIRST OF JAN","NEW JERSEY"
"6,000",2020,"FIRST OF JAN","NEW MEXICO"
"29,000",2020,"FIRST OF JAN","NEW YORK"
"15,000",2020,"FIRST OF JAN","NORTH CAROLINA"
"53,000",2020,"FIRST OF JAN","NORTH DAKOTA"
"15,500",2020,"FIRST OF JAN","OHIO"
"19,500",2020,"FIRST OF JAN","OKLAHOMA"
"97,000",2020,"FIRST OF JAN","OREGON"
"7,800",2020,"FIRST OF JAN","OTHER STATES"
"18,500",2020,"FIRST OF JAN","PENNSYLVANIA"
"13,000",2020,"FIRST OF JAN","SOUTH CAROLINA"
"20,000",2020,"FIRST OF JAN","SOUTH DAKOTA"
"8,000",2020,"FIRST OF JAN","TENNESSEE"
"235,000",2020,"FIRST OF JAN","TEXAS"
"12,000",2020,"FIRST OF JAN","UTAH"
"6,500",2020,"FIRST OF JAN","VERMONT"
"6,000",2020,"FIRST OF JAN","VIRGINIA"
"49,000",2020,"FIRST OF JAN","WASHINGTON"
"6,000",2020,"FIRST OF JAN","WEST VIRGINIA"
"16,000",2020,"FIRST OF JAN","WISCONSIN"
"4,000",2020,"FIRST OF JAN","WYOMING"
"9,000",2020,"FIRST OF JUL","ALABAMA"
"28,000",2020,"FIRST OF JUL","ARIZONA"
"19,000",2020,"FIRST OF JUL","ARKANSAS"
"640,000",2020,"FIRST OF JUL","CALIFORNIA"
"29,000",2020,"FIRST OF JUL","COLORADO"
"4,700",2020,"FIRST OF JUL","CONNECTICUT"
"220,000",2020,"FIRST OF JUL","FLORIDA"
"150,000",2020,"FIRST OF JUL","GEORGIA"
"18,500",2020,"FIRST OF JUL","HAWAII"
"70,000",2020,"FIRST OF JUL","IDAHO"
"14,000",2020,"FIRST OF JUL","ILLINOIS"
"15,000",2020,"FIRST OF JUL","INDIANA"
"34,000",2020,"FIRST OF JUL","IOWA"
"7,000",2020,"FIRST OF JUL","KANSAS"
"11,500",2020,"FIRST OF JUL","KENTUCKY"
"48,000",2020,"FIRST OF JUL","LOUISIANA"
"9,500",2020,"FIRST OF JUL","MAINE"
"7,500",2020,"FIRST OF JUL","MARYLAND"
"11,000",2020,"FIRST OF JUL","MASSACHUSETTS"
"96,000",2020,"FIRST OF JUL","MICHIGAN"
"114,000",2020,"FIRST OF JUL","MINNESOTA"
"26,000",2020,"FIRST OF JUL","MISSISSIPPI"
"8,000",2020,"FIRST OF JUL","MISSOURI"
"138,000",2020,"FIRST OF JUL","MONTANA"
"47,000",2020,"FIRST OF JUL","NEBRASKA"
"17,500",2020,"FIRST OF JUL","NEW JERSEY"
"5,500",2020,"FIRST OF JUL","NEW MEXICO"
"61,000",2020,"FIRST OF JUL","NEW YORK"
"26,000",2020,"FIRST OF JUL","NORTH CAROLINA"
"455,000",2020,"FIRST OF JUL","NORTH DAKOTA"
"22,000",2020,"FIRST OF JUL","OHIO"
"7,000",2020,"FIRST OF JUL","OKLAHOMA"
"102,000",2020,"FIRST OF JUL","OREGON"
"10,630",2020,"FIRST OF JUL","OTHER STATES"
"27,000",2020,"FIRST OF JUL","PENNSYLVANIA"
"12,000",2020,"FIRST OF JUL","SOUTH CAROLINA"
"230,000",2020,"FIRST OF JUL","SOUTH DAKOTA"
"15,000",2020,"FIRST OF JUL","TENNESSEE"
"167,000",2020,"FIRST OF JUL","TEXAS"
"24,000",2020,"FIRST OF JUL","UTAH"
"7,500",2020,"FIRST OF JUL","VERMONT"
"8,500",2020,"FIRST OF JUL","VIRGINIA"
"94,000",2020,"FIRST OF JUL","WASHINGTON"
"8,000",2020,"FIRST OF JUL","WEST VIRGINIA"
"68,000",2020,"FIRST OF JUL","WISCONSIN"
"33,000",2020,"FIRST OF JUL","WYOMING"
"17,000",2020,"FIRST OF OCT","ALABAMA"
"25,000",2020,"FIRST OF OCT","ARIZONA"
"22,000",2020,"FIRST OF OCT","ARKANSAS"
"700,000",2020,"FIRST OF OCT","CALIFORNIA"
"19,000",2020,"FIRST OF OCT","COLORADO"
"4,300",2020,"FIRST OF OCT","CONNECTICUT"
"240,000",2020,"FIRST OF OCT","FLORIDA"
"165,000",2020,"FIRST OF OCT","GEORGIA"
"22,000",2020,"FIRST OF OCT","HAWAII"
"94,000",2020,"FIRST OF OCT","IDAHO"
"13,000",2020,"FIRST OF OCT","ILLINOIS"
"10,000",2020,"FIRST OF OCT","INDIANA"
"38,000",2020,"FIRST OF OCT","IOWA"
"6,000",2020,"FIRST OF OCT","KANSAS"
"11,500",2020,"FIRST OF OCT","KENTUCKY"
"46,000",2020,"FIRST OF OCT","LOUISIANA"
"9,000",2020,"FIRST OF OCT","MAINE"
"6,000",2020,"FIRST OF OCT","MARYLAND"
"10,000",2020,"FIRST OF OCT","MASSACHUSETTS"
"97,000",2020,"FIRST OF OCT","MICHIGAN"
"99,000",2020,"FIRST OF OCT","MINNESOTA"
"30,000",2020,"FIRST OF OCT","MISSISSIPPI"
"6,500",2020,"FIRST OF OCT","MISSOURI"
"81,000",2020,"FIRST OF OCT","MONTANA"
"43,000",2020,"FIRST OF OCT","NEBRASKA"
"18,000",2020,"FIRST OF OCT","NEW JERSEY"
"2,400",2020,"FIRST OF OCT","NEW MEXICO"
"52,000",2020,"FIRST OF OCT","NEW YORK"
"16,500",2020,"FIRST OF OCT","NORTH CAROLINA"
"445,000",2020,"FIRST OF OCT","NORTH DAKOTA"
"21,000",2020,"FIRST OF OCT","OHIO"
"7,000",2020,"FIRST OF OCT","OKLAHOMA"
"122,000",2020,"FIRST OF OCT","OREGON"
"10,640",2020,"FIRST OF OCT","OTHER STATES"
"23,000",2020,"FIRST OF OCT","PENNSYLVANIA"
"11,500",2020,"FIRST OF OCT","SOUTH CAROLINA"
"197,000",2020,"FIRST OF OCT","SOUTH DAKOTA"
"13,500",2020,"FIRST OF OCT","TENNESSEE"
"144,000",2020,"FIRST OF OCT","TEXAS"
"29,000",2020,"FIRST OF OCT","UTAH"
"8,000",2020,"FIRST OF OCT","VERMONT"
"8,000",2020,"FIRST OF OCT","VIRGINIA"
"102,000",2020,"FIRST OF OCT","WASHINGTON"
"7,500",2020,"FIRST OF OCT","WEST VIRGINIA"
"60,000",2020,"FIRST OF OCT","WISCONSIN"
